Giá đã qua sử dụng,Tên,Giá mới,Công nghệ CPU,Loại CPU,Tốc độ CPU,Tốc độ tối đa,RAM,Loại RAM,Tốc độ Bus RAM,Hỗ trợ RAM tối đa,Ổ cứng,Kích thước màn hình,Độ phân giải,Công nghệ màn hình,Màn hình cảm ứng,Thiết kế card,Card đồ họa,Công nghệ âm thanh,Cổng giao tiếp,Kết nối không dây,Khe đọc thẻ nhớ,Ổ đĩa quang,Webcam,Tính năng khác,Đèn bàn phím,Loại PIN,Model Adapter,Thông tin Pin,Hệ điều hành,Kích thước,Trọng lượng,Chất liệu,Thời điểm ra mắt
14.920.000₫,HP Probook 430 G6 i5 8265U/4GB/256GB/Win10 (6UX78PA),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.920.000₫,HP Probook 430 G6 i5 8265U/4GB/256GB/Win10 (6UX78PA),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.920.000₫,HP Probook 430 G6 i5 8265U/4GB/256GB/Win10 (6UX78PA),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.920.000₫,HP Probook 430 G6 i5 8265U/4GB/256GB/Win10 (6UX78PA),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.800.000₫,Lenovo IdeaPad Slim 3 14IIL05 i7 1065G7/8GB/512GB/Win10 (81WD0040VN),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.640.000₫,Lenovo IdeaPad Slim 3 14IIL05 i7 1065G7/8GB/512GB/Win10 (81WD0040VN),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.150.000₫,Lenovo IdeaPad Slim 3 14IIL05 i7 1065G7/8GB/512GB/Win10 (81WD0040VN),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.680.000₫,Acer Aspire 3 A315 58 50YY i5 1135G7/8GB/512GB/Win10 (NX.AM0SV.004),Giá máy mới: 16.990.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.680.000₫,Acer Aspire 3 A315 58 50YY i5 1135G7/8GB/512GB/Win10 (NX.AM0SV.004),Giá máy mới: 16.990.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.570.000₫,Asus VivoBook S530FN i5 8265U/4GB/1TB/2GB MX150/Win10 (BQ128T),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.570.000₫,Asus VivoBook A415EA i5 1135G7/8GB/512GB/Win10 (EB354T),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.730.000₫,Asus VivoBook A415EA i5 1135G7/8GB/512GB/Win10 (EB354T),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.400.000₫,Asus VivoBook A515EA i3 1115G4/8GB/512GB/Win10 (BN975T),Giá máy mới: 16.490.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.470.000₫,Asus VivoBook A515EA i3 1115G4/8GB/512GB/Win10 (BN975T),Giá máy mới: 16.490.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.470.000₫,Asus VivoBook A515EA i3 1115G4/8GB/512GB/Win10 (BN975T),Giá máy mới: 16.490.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.470.000₫,Asus VivoBook A515EA i3 1115G4/8GB/512GB/Win10 (BN975T),Giá máy mới: 16.490.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.470.000₫,Asus VivoBook A515EA i3 1115G4/8GB/512GB/Win10 (BN975T),Giá máy mới: 16.490.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.470.000₫,Asus VivoBook A515EA i3 1115G4/8GB/512GB/Win10 (BN975T),Giá máy mới: 16.490.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.470.000₫,Asus VivoBook A515EA i3 1115G4/8GB/512GB/Win10 (BN975T),Giá máy mới: 16.490.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.540.000₫,Asus VivoBook A515EA i3 1115G4/8GB/512GB/Win10 (BN975T),Giá máy mới: 16.490.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.540.000₫,Asus VivoBook A515EA i3 1115G4/8GB/512GB/Win10 (BN975T),Giá máy mới: 16.490.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.540.000₫,Asus VivoBook A515EA i3 1115G4/8GB/512GB/Win10 (BN975T),Giá máy mới: 16.490.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.540.000₫,Asus VivoBook A515EA i3 1115G4/8GB/512GB/Win10 (BN975T),Giá máy mới: 16.490.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.540.000₫,Asus VivoBook A515EA i3 1115G4/8GB/512GB/Win10 (BN975T),Giá máy mới: 16.490.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.620.000₫,Asus VivoBook A515EA i3 1115G4/8GB/512GB/Win10 (BN975T),Giá máy mới: 16.490.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.620.000₫,Asus VivoBook A515EA i3 1115G4/8GB/512GB/Win10 (BN975T),Giá máy mới: 16.490.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.620.000₫,Asus VivoBook A515EA i3 1115G4/8GB/512GB/Win10 (BN975T),Giá máy mới: 16.490.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.620.000₫,Asus VivoBook A515EA i3 1115G4/8GB/512GB/Win10 (BN975T),Giá máy mới: 16.490.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.690.000₫,Asus VivoBook A515EA i3 1115G4/8GB/512GB/Win10 (BN975T),Giá máy mới: 16.490.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.370.000₫,HP 348 G7 i5 10210U/8GB/512GB/Win10 (9PH06PA),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.370.000₫,Asus VivoBook A415EA i3 1115G4/8GB/32GB+512GB/Win10 (EB568T),Giá máy mới: 16.290.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.370.000₫,Asus VivoBook A415EA i3 1115G4/8GB/32GB+512GB/Win10 (EB568T),Giá máy mới: 16.290.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.370.000₫,Asus VivoBook A415EA i3 1115G4/8GB/32GB+512GB/Win10 (EB568T),Giá máy mới: 16.290.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.370.000₫,Asus VivoBook A415EA i3 1115G4/8GB/32GB+512GB/Win10 (EB568T),Giá máy mới: 16.290.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.180.000₫,Asus VivoBook Flip TP470EA i3 1115G4/4GB/512GB/Touch/Pen/Win10 (EC027T),Giá máy mới: 15.990.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.140.000₫,Asus VivoBook X507UB i7 8550U/4GB/1TB/2GB MX110/Win10 (BR354T),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.140.000₫,Asus VivoBook X507UB i7 8550U/4GB/1TB/2GB MX110/Win10 (BR354T),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.070.000₫,HP 15 da1033TX i7 8565U/4GB/1TB/2GB MX130/Win10 (5NK26PA),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.070.000₫,HP 15 da1033TX i7 8565U/4GB/1TB/2GB MX130/Win10 (5NK26PA),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.070.000₫,HP 15 da1033TX i7 8565U/4GB/1TB/2GB MX130/Win10 (5NK26PA),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.070.000₫,HP 15 da1033TX i7 8565U/4GB/1TB/2GB MX130/Win10 (5NK26PA),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.070.000₫,HP 15 da1033TX i7 8565U/4GB/1TB/2GB MX130/Win10 (5NK26PA),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.010.000₫,Acer Swift 3 SF314 57 52GB i5 1035G1/8GB/512GB/Win10 (NX.HJFSV.001),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.010.000₫,Acer Swift 3 SF314 57 52GB i5 1035G1/8GB/512GB/Win10 (NX.HJFSV.001),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.990.000₫,Lenovo IdeaPad Slim 5 14IIL05 i5 1035G1/8GB/512GB/Win10 (81YH0050VN),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.910.000₫,HP Palivion X360 14 dh0104TU i5 8265U/4GB/1TB/Win10 (6ZF32PA),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.910.000₫,HP Palivion X360 14 dh0104TU i5 8265U/4GB/1TB/Win10 (6ZF32PA),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.910.000₫,HP Pavilion 15 cs2120TX i5 8265U/8GB/1TB/2GB MX130/Win10 (8AG58PA),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.920.000₫,HP Probook 430 G6 i5 8265U/4GB/256GB/Win10 (6UX78PA),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.920.000₫,HP Probook 430 G6 i5 8265U/4GB/256GB/Win10 (6UX78PA),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.920.000₫,HP Probook 430 G6 i5 8265U/4GB/256GB/Win10 (6UX78PA),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.920.000₫,HP Probook 430 G6 i5 8265U/4GB/256GB/Win10 (6UX78PA),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.800.000₫,Lenovo IdeaPad Slim 3 14IIL05 i7 1065G7/8GB/512GB/Win10 (81WD0040VN),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.640.000₫,Lenovo IdeaPad Slim 3 14IIL05 i7 1065G7/8GB/512GB/Win10 (81WD0040VN),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.150.000₫,Lenovo IdeaPad Slim 3 14IIL05 i7 1065G7/8GB/512GB/Win10 (81WD0040VN),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.680.000₫,Acer Aspire 3 A315 58 50YY i5 1135G7/8GB/512GB/Win10 (NX.AM0SV.004),Giá máy mới: 16.990.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.680.000₫,Acer Aspire 3 A315 58 50YY i5 1135G7/8GB/512GB/Win10 (NX.AM0SV.004),Giá máy mới: 16.990.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.570.000₫,Asus VivoBook S530FN i5 8265U/4GB/1TB/2GB MX150/Win10 (BQ128T),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.570.000₫,Asus VivoBook A415EA i5 1135G7/8GB/512GB/Win10 (EB354T),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.730.000₫,Asus VivoBook A415EA i5 1135G7/8GB/512GB/Win10 (EB354T),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.400.000₫,Asus VivoBook A515EA i3 1115G4/8GB/512GB/Win10 (BN975T),Giá máy mới: 16.490.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.470.000₫,Asus VivoBook A515EA i3 1115G4/8GB/512GB/Win10 (BN975T),Giá máy mới: 16.490.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.470.000₫,Asus VivoBook A515EA i3 1115G4/8GB/512GB/Win10 (BN975T),Giá máy mới: 16.490.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.470.000₫,Asus VivoBook A515EA i3 1115G4/8GB/512GB/Win10 (BN975T),Giá máy mới: 16.490.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.470.000₫,Asus VivoBook A515EA i3 1115G4/8GB/512GB/Win10 (BN975T),Giá máy mới: 16.490.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.470.000₫,Asus VivoBook A515EA i3 1115G4/8GB/512GB/Win10 (BN975T),Giá máy mới: 16.490.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.540.000₫,Asus VivoBook A515EA i3 1115G4/8GB/512GB/Win10 (BN975T),Giá máy mới: 16.490.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.540.000₫,Asus VivoBook A515EA i3 1115G4/8GB/512GB/Win10 (BN975T),Giá máy mới: 16.490.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.540.000₫,Asus VivoBook A515EA i3 1115G4/8GB/512GB/Win10 (BN975T),Giá máy mới: 16.490.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.540.000₫,Asus VivoBook A515EA i3 1115G4/8GB/512GB/Win10 (BN975T),Giá máy mới: 16.490.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.620.000₫,Asus VivoBook A515EA i3 1115G4/8GB/512GB/Win10 (BN975T),Giá máy mới: 16.490.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.620.000₫,Asus VivoBook A515EA i3 1115G4/8GB/512GB/Win10 (BN975T),Giá máy mới: 16.490.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.620.000₫,Asus VivoBook A515EA i3 1115G4/8GB/512GB/Win10 (BN975T),Giá máy mới: 16.490.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.690.000₫,Asus VivoBook A515EA i3 1115G4/8GB/512GB/Win10 (BN975T),Giá máy mới: 16.490.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.370.000₫,HP 348 G7 i5 10210U/8GB/512GB/Win10 (9PH06PA),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.370.000₫,Asus VivoBook A415EA i3 1115G4/8GB/32GB+512GB/Win10 (EB568T),Giá máy mới: 16.290.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.370.000₫,Asus VivoBook A415EA i3 1115G4/8GB/32GB+512GB/Win10 (EB568T),Giá máy mới: 16.290.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.370.000₫,Asus VivoBook A415EA i3 1115G4/8GB/32GB+512GB/Win10 (EB568T),Giá máy mới: 16.290.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.370.000₫,Asus VivoBook A415EA i3 1115G4/8GB/32GB+512GB/Win10 (EB568T),Giá máy mới: 16.290.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.140.000₫,Asus VivoBook X507UB i7 8550U/4GB/1TB/2GB MX110/Win10 (BR354T),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.140.000₫,Asus VivoBook X507UB i7 8550U/4GB/1TB/2GB MX110/Win10 (BR354T),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.070.000₫,HP 15 da1033TX i7 8565U/4GB/1TB/2GB MX130/Win10 (5NK26PA),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.070.000₫,HP 15 da1033TX i7 8565U/4GB/1TB/2GB MX130/Win10 (5NK26PA),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.070.000₫,HP 15 da1033TX i7 8565U/4GB/1TB/2GB MX130/Win10 (5NK26PA),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.070.000₫,HP 15 da1033TX i7 8565U/4GB/1TB/2GB MX130/Win10 (5NK26PA),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.070.000₫,HP 15 da1033TX i7 8565U/4GB/1TB/2GB MX130/Win10 (5NK26PA),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.010.000₫,Acer Swift 3 SF314 57 52GB i5 1035G1/8GB/512GB/Win10 (NX.HJFSV.001),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.010.000₫,Acer Swift 3 SF314 57 52GB i5 1035G1/8GB/512GB/Win10 (NX.HJFSV.001),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.990.000₫,Lenovo IdeaPad Slim 5 14IIL05 i5 1035G1/8GB/512GB/Win10 (81YH0050VN),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.910.000₫,HP Palivion X360 14 dh0104TU i5 8265U/4GB/1TB/Win10 (6ZF32PA),Máy mới đã ngừng kinh doanh,Intel Core i5 Coffee Lake,Loại CPU,1.60 GHz,Turbo Boost 3.9 GHz,4 GB,DDR4 (2 khe),2666 MHz,Hỗ trợ RAM tối đa,Ổ cứng,14 inch,Độ phân giải,"Wled-backlit, 60Hz, Tấm nền IPS",Màn hình cảm ứng,Card tích hợp,Card đồ họa,Công nghệ âm thanh,"HDMI, 2 x USB 3.1, USB Type-C","Wi-Fi 802.11 a/b/g/n/ac, Bluetooth 4.2",Khe đọc thẻ nhớ,Ổ đĩa quang,Webcam,Tính năng khác,Đèn bàn phím,,Model Adapter,Thông tin Pin,Windows 10 Home SL,Dài 324 mm - Rộng 222.9 mm - Dày 19.7 mm,Trọng lượng,Vỏ nhựa,2019
13.910.000₫,HP Palivion X360 14 dh0104TU i5 8265U/4GB/1TB/Win10 (6ZF32PA),Máy mới đã ngừng kinh doanh,Intel Core i5 Coffee Lake,Loại CPU,1.60 GHz,Turbo Boost 3.9 GHz,4 GB,DDR4 (2 khe),2666 MHz,Hỗ trợ RAM tối đa,Ổ cứng,14 inch,Độ phân giải,"Wled-backlit, 60Hz, Tấm nền IPS",Màn hình cảm ứng,Card tích hợp,Card đồ họa,Công nghệ âm thanh,"HDMI, 2 x USB 3.1, USB Type-C","Wi-Fi 802.11 a/b/g/n/ac, Bluetooth 4.2",Khe đọc thẻ nhớ,Ổ đĩa quang,Webcam,Tính năng khác,Đèn bàn phím,,Model Adapter,Thông tin Pin,Windows 10 Home SL,Dài 324 mm - Rộng 222.9 mm - Dày 19.7 mm,Trọng lượng,Vỏ nhựa,2019
13.910.000₫,HP Pavilion 15 cs2120TX i5 8265U/8GB/1TB/2GB MX130/Win10 (8AG58PA),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.890.000₫,HP Probook 13 i5 8265U/4GB/1TB/Win10 (5YM98PA),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.890.000₫,HP Probook 13 i5 8265U/4GB/1TB/Win10 (5YM98PA),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.350.000₫,HP Probook 13 i5 8265U/4GB/1TB/Win10 (5YM98PA),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.880.000₫,Lenovo IdeaPad Flex 5 14IIL05 i3 1005G1/8GB/512GB/Win10 (81X1001TVN),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.870.000₫,Asus VivoBook S530F i5 8265U/8GB+16GB/1TB/Win10 (BQ400T),Máy mới đã ngừng kinh doanh,Intel Core i5 Coffee Lake,Loại CPU,1.60 GHz,Turbo Boost 3.9 GHz,8 GB,DDR4 (2 khe),2400 MHz,Hỗ trợ RAM tối đa,Ổ cứng,15.6 inch,Độ phân giải,"60Hz, Tấm nền IPS, LED Backlight",Màn hình cảm ứng,Card tích hợp,Card đồ họa,Công nghệ âm thanh,"HDMI, USB 3.0, 2 x USB 2.0, USB Type-C","Wi-Fi 802.11 a/b/g/n/ac, Bluetooth 4.1",Khe đọc thẻ nhớ,Ổ đĩa quang,Webcam,Tính năng khác,Đèn bàn phím,,Model Adapter,Thông tin Pin,Windows 10 Home SL,Dài 361 mm - Rộng 243 mm - Dày 18 mm,Trọng lượng,Vỏ kim loại,2018
14.110.000₫,Asus VivoBook S530F i5 8265U/8GB+16GB/1TB/Win10 (BQ400T),Máy mới đã ngừng kinh doanh,Intel Core i5 Coffee Lake,Loại CPU,1.60 GHz,Turbo Boost 3.9 GHz,8 GB,DDR4 (2 khe),2400 MHz,Hỗ trợ RAM tối đa,Ổ cứng,15.6 inch,Độ phân giải,"60Hz, Tấm nền IPS, LED Backlight",Màn hình cảm ứng,Card tích hợp,Card đồ họa,Công nghệ âm thanh,"HDMI, USB 3.0, 2 x USB 2.0, USB Type-C","Wi-Fi 802.11 a/b/g/n/ac, Bluetooth 4.1",Khe đọc thẻ nhớ,Ổ đĩa quang,Webcam,Tính năng khác,Đèn bàn phím,,Model Adapter,Thông tin Pin,Windows 10 Home SL,Dài 361 mm - Rộng 243 mm - Dày 18 mm,Trọng lượng,Vỏ kim loại,2018
14.190.000₫,Asus VivoBook S530F i5 8265U/8GB+16GB/1TB/Win10 (BQ400T),Máy mới đã ngừng kinh doanh,Intel Core i5 Coffee Lake,Loại CPU,1.60 GHz,Turbo Boost 3.9 GHz,8 GB,DDR4 (2 khe),2400 MHz,Hỗ trợ RAM tối đa,Ổ cứng,15.6 inch,Độ phân giải,"60Hz, Tấm nền IPS, LED Backlight",Màn hình cảm ứng,Card tích hợp,Card đồ họa,Công nghệ âm thanh,"HDMI, USB 3.0, 2 x USB 2.0, USB Type-C","Wi-Fi 802.11 a/b/g/n/ac, Bluetooth 4.1",Khe đọc thẻ nhớ,Ổ đĩa quang,Webcam,Tính năng khác,Đèn bàn phím,,Model Adapter,Thông tin Pin,Windows 10 Home SL,Dài 361 mm - Rộng 243 mm - Dày 18 mm,Trọng lượng,Vỏ kim loại,2018
14.270.000₫,Asus VivoBook S530F i5 8265U/8GB+16GB/1TB/Win10 (BQ400T),Máy mới đã ngừng kinh doanh,Intel Core i5 Coffee Lake,Loại CPU,1.60 GHz,Turbo Boost 3.9 GHz,8 GB,DDR4 (2 khe),2400 MHz,Hỗ trợ RAM tối đa,Ổ cứng,15.6 inch,Độ phân giải,"60Hz, Tấm nền IPS, LED Backlight",Màn hình cảm ứng,Card tích hợp,Card đồ họa,Công nghệ âm thanh,"HDMI, USB 3.0, 2 x USB 2.0, USB Type-C","Wi-Fi 802.11 a/b/g/n/ac, Bluetooth 4.1",Khe đọc thẻ nhớ,Ổ đĩa quang,Webcam,Tính năng khác,Đèn bàn phím,,Model Adapter,Thông tin Pin,Windows 10 Home SL,Dài 361 mm - Rộng 243 mm - Dày 18 mm,Trọng lượng,Vỏ kim loại,2018
14.270.000₫,Asus VivoBook S530F i5 8265U/8GB+16GB/1TB/Win10 (BQ400T),Máy mới đã ngừng kinh doanh,Intel Core i5 Coffee Lake,Loại CPU,1.60 GHz,Turbo Boost 3.9 GHz,8 GB,DDR4 (2 khe),2400 MHz,Hỗ trợ RAM tối đa,Ổ cứng,15.6 inch,Độ phân giải,"60Hz, Tấm nền IPS, LED Backlight",Màn hình cảm ứng,Card tích hợp,Card đồ họa,Công nghệ âm thanh,"HDMI, USB 3.0, 2 x USB 2.0, USB Type-C","Wi-Fi 802.11 a/b/g/n/ac, Bluetooth 4.1",Khe đọc thẻ nhớ,Ổ đĩa quang,Webcam,Tính năng khác,Đèn bàn phím,,Model Adapter,Thông tin Pin,Windows 10 Home SL,Dài 361 mm - Rộng 243 mm - Dày 18 mm,Trọng lượng,Vỏ kim loại,2018
