Giá đã qua sử dụng,Tên,Giá mới,Công nghệ CPU,Loại CPU,Tốc độ CPU,Tốc độ tối đa,RAM,Loại RAM,Tốc độ Bus RAM,Hỗ trợ RAM tối đa,Ổ cứng,Kích thước màn hình,Độ phân giải,Công nghệ màn hình,Màn hình cảm ứng,Thiết kế card,Card đồ họa,Công nghệ âm thanh,Cổng giao tiếp,Kết nối không dây,Khe đọc thẻ nhớ,Ổ đĩa quang,Webcam,Tính năng khác,Đèn bàn phím,Loại PIN,Model Adapter,Thông tin Pin,Hệ điều hành,Kích thước,Trọng lượng,Chất liệu,Thời điểm ra mắt
14.270.000₫,Asus VivoBook S530F i5 8265U/8GB+16GB/1TB/Win10 (BQ400T),Máy mới đã ngừng kinh doanh,Intel Core i5 Coffee Lake,Loại CPU,1.60 GHz,Turbo Boost 3.9 GHz,8 GB,DDR4 (2 khe),2400 MHz,Hỗ trợ RAM tối đa,Ổ cứng,15.6 inch,Độ phân giải,"60Hz, Tấm nền IPS, LED Backlight",Màn hình cảm ứng,Card tích hợp,Card đồ họa,Công nghệ âm thanh,"HDMI, USB 3.0, 2 x USB 2.0, USB Type-C","Wi-Fi 802.11 a/b/g/n/ac, Bluetooth 4.1",Khe đọc thẻ nhớ,Ổ đĩa quang,Webcam,Tính năng khác,Đèn bàn phím,,Model Adapter,Thông tin Pin,Windows 10 Home SL,Dài 361 mm - Rộng 243 mm - Dày 18 mm,Trọng lượng,Vỏ kim loại,2018
14.270.000₫,Asus VivoBook S530F i5 8265U/8GB+16GB/1TB/Win10 (BQ400T),Máy mới đã ngừng kinh doanh,Intel Core i5 Coffee Lake,Loại CPU,1.60 GHz,Turbo Boost 3.9 GHz,8 GB,DDR4 (2 khe),2400 MHz,Hỗ trợ RAM tối đa,Ổ cứng,15.6 inch,Độ phân giải,"60Hz, Tấm nền IPS, LED Backlight",Màn hình cảm ứng,Card tích hợp,Card đồ họa,Công nghệ âm thanh,"HDMI, USB 3.0, 2 x USB 2.0, USB Type-C","Wi-Fi 802.11 a/b/g/n/ac, Bluetooth 4.1",Khe đọc thẻ nhớ,Ổ đĩa quang,Webcam,Tính năng khác,Đèn bàn phím,,Model Adapter,Thông tin Pin,Windows 10 Home SL,Dài 361 mm - Rộng 243 mm - Dày 18 mm,Trọng lượng,Vỏ kim loại,2018
14.270.000₫,Asus VivoBook S530F i5 8265U/8GB+16GB/1TB/Win10 (BQ400T),Máy mới đã ngừng kinh doanh,Intel Core i5 Coffee Lake,Loại CPU,1.60 GHz,Turbo Boost 3.9 GHz,8 GB,DDR4 (2 khe),2400 MHz,Hỗ trợ RAM tối đa,Ổ cứng,15.6 inch,Độ phân giải,"60Hz, Tấm nền IPS, LED Backlight",Màn hình cảm ứng,Card tích hợp,Card đồ họa,Công nghệ âm thanh,"HDMI, USB 3.0, 2 x USB 2.0, USB Type-C","Wi-Fi 802.11 a/b/g/n/ac, Bluetooth 4.1",Khe đọc thẻ nhớ,Ổ đĩa quang,Webcam,Tính năng khác,Đèn bàn phím,,Model Adapter,Thông tin Pin,Windows 10 Home SL,Dài 361 mm - Rộng 243 mm - Dày 18 mm,Trọng lượng,Vỏ kim loại,2018
14.270.000₫,Asus VivoBook S530F i5 8265U/8GB+16GB/1TB/Win10 (BQ400T),Máy mới đã ngừng kinh doanh,Intel Core i5 Coffee Lake,Loại CPU,1.60 GHz,Turbo Boost 3.9 GHz,8 GB,DDR4 (2 khe),2400 MHz,Hỗ trợ RAM tối đa,Ổ cứng,15.6 inch,Độ phân giải,"60Hz, Tấm nền IPS, LED Backlight",Màn hình cảm ứng,Card tích hợp,Card đồ họa,Công nghệ âm thanh,"HDMI, USB 3.0, 2 x USB 2.0, USB Type-C","Wi-Fi 802.11 a/b/g/n/ac, Bluetooth 4.1",Khe đọc thẻ nhớ,Ổ đĩa quang,Webcam,Tính năng khác,Đèn bàn phím,,Model Adapter,Thông tin Pin,Windows 10 Home SL,Dài 361 mm - Rộng 243 mm - Dày 18 mm,Trọng lượng,Vỏ kim loại,2018
14.270.000₫,Asus VivoBook S530F i5 8265U/8GB+16GB/1TB/Win10 (BQ400T),Máy mới đã ngừng kinh doanh,Intel Core i5 Coffee Lake,Loại CPU,1.60 GHz,Turbo Boost 3.9 GHz,8 GB,DDR4 (2 khe),2400 MHz,Hỗ trợ RAM tối đa,Ổ cứng,15.6 inch,Độ phân giải,"60Hz, Tấm nền IPS, LED Backlight",Màn hình cảm ứng,Card tích hợp,Card đồ họa,Công nghệ âm thanh,"HDMI, USB 3.0, 2 x USB 2.0, USB Type-C","Wi-Fi 802.11 a/b/g/n/ac, Bluetooth 4.1",Khe đọc thẻ nhớ,Ổ đĩa quang,Webcam,Tính năng khác,Đèn bàn phím,,Model Adapter,Thông tin Pin,Windows 10 Home SL,Dài 361 mm - Rộng 243 mm - Dày 18 mm,Trọng lượng,Vỏ kim loại,2018
13.860.000₫,HP Pavilion 15 eg0509TU i3 1125G4/4GB/512GB/Win10 (46M08PA),Giá máy mới: 15.790.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.800.000₫,Lenovo ThinkBook 14IIL i5 1035G1/8GB/512GB/Win10 (20SL00MFVN),Máy mới đã ngừng kinh doanh,Intel Core i5 Ice Lake,Loại CPU,1.00 GHz,Turbo Boost 3.6 GHz,8 GB,DDR4 (1 khe),3200 MHz,Hỗ trợ RAM tối đa,Ổ cứng,14 inch,Độ phân giải,"60Hz, Chống chói Anti Glare",Màn hình cảm ứng,Card tích hợp,Card đồ họa,Công nghệ âm thanh,"USB Type-C (Power Delivery and DisplayPort), HDMI, LAN (RJ45), USB 2.0, 2 x USB 3.1, USB Type-C","Bluetooth 5.0, Wi-Fi 6 (802.11ax)",Khe đọc thẻ nhớ,Ổ đĩa quang,Webcam,Tính năng khác,Đèn bàn phím,,Model Adapter,Thông tin Pin,Windows 10 Home SL,Dài 326 mm - Dài 230 mm - Dày 17.9 mm,Trọng lượng,Vỏ kim loại,2020
13.770.000₫,Asus VivoBook X507UF i7 8550U/4GB/1TB/2GB MX130/Win10 (EJ074T),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.390.000₫,Asus VivoBook X507UF i7 8550U/4GB/1TB/2GB MX130/Win10 (EJ074T),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.750.000₫,Asus VivoBook A415EA i3 1115G4/8GB/512GB/Win10 (EB559T),Giá máy mới: 15.990.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.750.000₫,Asus VivoBook A415EA i3 1115G4/8GB/512GB/Win10 (EB559T),Giá máy mới: 15.990.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.820.000₫,Asus VivoBook A415EA i3 1115G4/8GB/512GB/Win10 (EB559T),Giá máy mới: 15.990.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.820.000₫,Asus VivoBook A415EA i3 1115G4/8GB/512GB/Win10 (EB559T),Giá máy mới: 15.990.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.820.000₫,Asus VivoBook A415EA i3 1115G4/8GB/512GB/Win10 (EB559T),Giá máy mới: 15.990.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.890.000₫,Asus VivoBook A415EA i3 1115G4/8GB/512GB/Win10 (EB559T),Giá máy mới: 15.990.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.890.000₫,Asus VivoBook A415EA i3 1115G4/8GB/512GB/Win10 (EB559T),Giá máy mới: 15.990.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.650.000₫,Dell Vostro 14 5481 i5 8265U/4GB/1TB/Office365/Win10 (V4I5229W),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.570.000₫,Asus VivoBook X407UF i7 8550U/4GB/1TB/2GB MX130/Win10 (BV022T),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.570.000₫,Asus VivoBook X407UF i7 8550U/4GB/1TB/2GB MX130/Win10 (BV022T),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.570.000₫,Asus VivoBook X407UF i7 8550U/4GB/1TB/2GB MX130/Win10 (BV022T),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.710.000₫,Asus VivoBook X407UF i7 8550U/4GB/1TB/2GB MX130/Win10 (BV022T),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.710.000₫,Asus VivoBook X407UF i7 8550U/4GB/1TB/2GB MX130/Win10 (BV022T),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.540.000₫,Dell Vostro 5581 i5 8265U/4GB/1TB/2GB MX130/Win10 (VRF6J1),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.540.000₫,Dell Vostro 5581 i5 8265U/4GB/1TB/2GB MX130/Win10 (VRF6J1),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.480.000₫,HP 15s du0070TX i5 8265U/8GB/1TB/2GB MX130/Win10 (8AG62PA),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.460.000₫,Acer Swift 3 SF315 52 50T9 i5 8250U/8GB/256GB/Win10 (NX.GZBSV.002),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.460.000₫,Acer Swift 3 SF315 52 50T9 i5 8250U/8GB/256GB/Win10 (NX.GZBSV.002),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.460.000₫,Acer Swift 3 SF315 52 50T9 i5 8250U/8GB/256GB/Win10 (NX.GZBSV.002),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.460.000₫,Acer Swift 3 SF315 52 50T9 i5 8250U/8GB/256GB/Win10 (NX.GZBSV.002),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.460.000₫,Acer Swift 3 SF315 52 50T9 i5 8250U/8GB/256GB/Win10 (NX.GZBSV.002),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.460.000₫,Acer Swift 3 SF315 52 50T9 i5 8250U/8GB/256GB/Win10 (NX.GZBSV.002),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.460.000₫,Acer Swift 3 SF315 52 50T9 i5 8250U/8GB/256GB/Win10 (NX.GZBSV.002),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.460.000₫,Acer Swift 3 SF315 52 50T9 i5 8250U/8GB/256GB/Win10 (NX.GZBSV.002),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.460.000₫,Acer Swift 3 SF315 52 50T9 i5 8250U/8GB/256GB/Win10 (NX.GZBSV.002),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.460.000₫,Acer Swift 3 SF315 52 50T9 i5 8250U/8GB/256GB/Win10 (NX.GZBSV.002),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.460.000₫,Acer Swift 3 SF315 52 50T9 i5 8250U/8GB/256GB/Win10 (NX.GZBSV.002),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.460.000₫,Acer Swift 3 SF315 52 50T9 i5 8250U/8GB/256GB/Win10 (NX.GZBSV.002),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.460.000₫,Acer Swift 3 SF315 52 50T9 i5 8250U/8GB/256GB/Win10 (NX.GZBSV.002),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.460.000₫,Acer Swift 3 SF315 52 50T9 i5 8250U/8GB/256GB/Win10 (NX.GZBSV.002),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.370.000₫,Acer Aspire A514 53G 513J i5 1035G1/8GB/512GB/2GB MX350/Win10 (NX.HYWSV.001),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.370.000₫,Acer Aspire A514 53G 513J i5 1035G1/8GB/512GB/2GB MX350/Win10 (NX.HYWSV.001),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.340.000₫,HP Pavilion 15 cs2057TX i5 8265U/4GB/1TB/2GB MX130/Win10 (6YZ20PA),Máy mới đã ngừng kinh doanh,Intel Core i5 Coffee Lake,Loại CPU,1.60 GHz,Turbo Boost 3.9 GHz,4 GB,DDR4 (2 khe),2666 MHz,Hỗ trợ RAM tối đa,Ổ cứng,15.6 inch,Độ phân giải,"60Hz, LED Backlit, Chống chói Anti-Glare",Màn hình cảm ứng,Card rời,Card đồ họa,Công nghệ âm thanh,"HDMI, LAN (RJ45), 2 x USB 3.1, USB Type-C","Bluetooth 5.0, Wi-Fi 802.11 a/b/g/n/ac",Khe đọc thẻ nhớ,Ổ đĩa quang,Webcam,Tính năng khác,Đèn bàn phím,,Model Adapter,Thông tin Pin,Windows 10 Home SL,Dài 361.6 - Rộng 245.6 mm- Dày 17.9 mm,Trọng lượng,Vỏ kim loại,2019
13.780.000₫,HP Pavilion 15 cs2057TX i5 8265U/4GB/1TB/2GB MX130/Win10 (6YZ20PA),Máy mới đã ngừng kinh doanh,Intel Core i5 Coffee Lake,Loại CPU,1.60 GHz,Turbo Boost 3.9 GHz,4 GB,DDR4 (2 khe),2666 MHz,Hỗ trợ RAM tối đa,Ổ cứng,15.6 inch,Độ phân giải,"60Hz, LED Backlit, Chống chói Anti-Glare",Màn hình cảm ứng,Card rời,Card đồ họa,Công nghệ âm thanh,"HDMI, LAN (RJ45), 2 x USB 3.1, USB Type-C","Bluetooth 5.0, Wi-Fi 802.11 a/b/g/n/ac",Khe đọc thẻ nhớ,Ổ đĩa quang,Webcam,Tính năng khác,Đèn bàn phím,,Model Adapter,Thông tin Pin,Windows 10 Home SL,Dài 361.6 - Rộng 245.6 mm- Dày 17.9 mm,Trọng lượng,Vỏ kim loại,2019
13.330.000₫,Asus VivoBook A515EA i3 1115G4/8GB/512GB/Win10 (BQ497T),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.330.000₫,Asus VivoBook A515EA i3 1115G4/8GB/512GB/Win10 (BQ497T),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.280.000₫,Acer Swift 3 SF314 56 596E i5 8265U/4GB/256GB/Win10 (NX.H4CSV.006),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.250.000₫,Acer Swift 3 SF314 56 596E i5 8265U/4GB/256GB/Win10 (NX.H4CSV.006),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.270.000₫,Asus VivoBook A512FL i5 10210U/8GB/512GB/2GB MX250/Win10 (EJ569T),Giá máy mới: 18.990.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.220.000₫,Lenovo Ideapad 3 15ITL6 i3 1115G4/8GB/512GB/Win10 (82H8004HVN),Giá máy mới: 14.990.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.100.000₫,Lenovo Ideapad S340 14IWL i5 8265U/8GB/1TB/2GB MX230/Win10 (81N7006HVN),Máy mới đã ngừng kinh doanh,Intel Core i5 Coffee Lake,Loại CPU,1.60 GHz,Turbo Boost 3.9 GHz,8 GB,DDR4 (On board +1 khe),2400 MHz,Hỗ trợ RAM tối đa,Ổ cứng,14 inch,Độ phân giải,"Tấm nền TN, 60Hz, Chống chói Anti-Glare",Màn hình cảm ứng,Card rời,Card đồ họa,Công nghệ âm thanh,"HDMI, 2 x USB 3.1, USB Type-C","Wi-Fi 802.11 a/b/g/n/ac, Bluetooth 4.2",Khe đọc thẻ nhớ,Ổ đĩa quang,Webcam,Tính năng khác,Đèn bàn phím,,Model Adapter,Thông tin Pin,Windows 10 Home SL,Dài 322.7 mm - Rộng 230.5 mm - Dày 17.9mm,Trọng lượng,Vỏ nhựa - nắp lưng bằng kim loại,2019
13.070.000₫,Lenovo IdeaPad C340 14IML i3 10110U/8GB/512GB/Touch/Win10 (81TK007PVN),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.070.000₫,Lenovo IdeaPad C340 14IML i3 10110U/8GB/512GB/Touch/Win10 (81TK007PVN),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.070.000₫,Lenovo IdeaPad C340 14IML i3 10110U/8GB/512GB/Touch/Win10 (81TK007PVN),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.070.000₫,HP Pavilion 15 eg0513TU i3 1125G4/4GB/256GB/Win10 (46M12PA),Giá máy mới: 14.890.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.070.000₫,HP Pavilion 15 eg0513TU i3 1125G4/4GB/256GB/Win10 (46M12PA),Giá máy mới: 14.890.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.060.000₫,Acer Spin SP314 51 51LE i5 8250U/4GB/256GB/Win10 (NX.GZRSV.002),Máy mới đã ngừng kinh doanh,Intel Core i5 Coffee Lake,Loại CPU,1.60 GHz,Turbo Boost 3.4 GHz,4 GB,DDR4 (On board),2400 MHz,Hỗ trợ RAM tối đa,Ổ cứng,14 inch,Độ phân giải,"60Hz, Tấm nền IPS",Màn hình cảm ứng,Card tích hợp,Card đồ họa,Công nghệ âm thanh,"HDMI, USB 2.0, 2 x USB 3.0",,Khe đọc thẻ nhớ,Ổ đĩa quang,Webcam,Tính năng khác,Đèn bàn phím,,Model Adapter,Thông tin Pin,Windows 10 Home SL,Dài 335 mm - Rộng 230 mm - Dày 20.8 mm,Trọng lượng,Vỏ nhựa,2018
12.940.000₫,HP Pavilion 15 cs2034TU i5 8265U/4GB/1TB/Win10 (6YZ06PA),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.820.000₫,MSI Modern 14 B11MOL i3 1115G4/8GB/256GB/Win10 (813VN),Giá máy mới: 14.690.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.690.000₫,Lenovo Ideapad C340 14IWL i3 8145U/8GB/256GB/Touch/Win10 (81N4003SVN),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.690.000₫,Lenovo Ideapad C340 14IWL i3 8145U/8GB/256GB/Touch/Win10 (81N4003SVN),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.690.000₫,Lenovo Ideapad C340 14IWL i3 8145U/8GB/256GB/Touch/Win10 (81N4003SVN),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.100.000₫,Lenovo Ideapad C340 14IWL i3 8145U/8GB/256GB/Touch/Win10 (81N4003SVN),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.100.000₫,Lenovo Ideapad C340 14IWL i3 8145U/8GB/256GB/Touch/Win10 (81N4003SVN),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.100.000₫,Lenovo Ideapad C340 14IWL i3 8145U/8GB/256GB/Touch/Win10 (81N4003SVN),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.100.000₫,Lenovo Ideapad C340 14IWL i3 8145U/8GB/256GB/Touch/Win10 (81N4003SVN),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.100.000₫,Lenovo Ideapad C340 14IWL i3 8145U/8GB/256GB/Touch/Win10 (81N4003SVN),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.100.000₫,Lenovo Ideapad C340 14IWL i3 8145U/8GB/256GB/Touch/Win10 (81N4003SVN),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.100.000₫,Lenovo Ideapad C340 14IWL i3 8145U/8GB/256GB/Touch/Win10 (81N4003SVN),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.100.000₫,Lenovo Ideapad C340 14IWL i3 8145U/8GB/256GB/Touch/Win10 (81N4003SVN),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.100.000₫,Lenovo Ideapad C340 14IWL i3 8145U/8GB/256GB/Touch/Win10 (81N4003SVN),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.100.000₫,Lenovo Ideapad C340 14IWL i3 8145U/8GB/256GB/Touch/Win10 (81N4003SVN),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.100.000₫,Lenovo Ideapad C340 14IWL i3 8145U/8GB/256GB/Touch/Win10 (81N4003SVN),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.100.000₫,Lenovo Ideapad C340 14IWL i3 8145U/8GB/256GB/Touch/Win10 (81N4003SVN),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.100.000₫,Lenovo Ideapad C340 14IWL i3 8145U/8GB/256GB/Touch/Win10 (81N4003SVN),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.690.000₫,HP Pavilion 15 cs2033TU i5 8265U/4GB/1TB/Win10 (6YZ14PA),Máy mới đã ngừng kinh doanh,Intel Core i5 Coffee Lake,Loại CPU,1.60 GHz,Turbo Boost 3.9 GHz,4 GB,DDR4 (2 khe),2666 MHz,Hỗ trợ RAM tối đa,Ổ cứng,15.6 inch,Độ phân giải,"Wled-backlit, 60Hz, Chống chói Anti-Glare",Màn hình cảm ứng,Card tích hợp,Card đồ họa,Công nghệ âm thanh,"HDMI, LAN (RJ45), 2 x USB 3.1, USB Type-C","Bluetooth 5.0, Wi-Fi 802.11 a/b/g/n/ac",Khe đọc thẻ nhớ,Ổ đĩa quang,Webcam,Tính năng khác,Đèn bàn phím,,Model Adapter,Thông tin Pin,Windows 10 Home SL,Dài 361.6 mm - Rộng 245.6 mm - Dày 17.9 mm,Trọng lượng,Vỏ nhựa - nắp lưng bằng kim loại,2019
12.640.000₫,Asus VivoBook S530UA i5 8250U/4GB/1TB/Win10 (BQ278T),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.540.000₫,Acer Aspire A514 53 5921 i5 1035G1/8GB/512GB/Win10 (NX.HUPSV.001),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.510.000₫,Asus VivoBook S530UN i5 8250U/4GB/1TB/2GB MX150/Win10 (BQ263T),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.900.000₫,Asus VivoBook S530UN i5 8250U/4GB/1TB/2GB MX150/Win10 (BQ263T),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.900.000₫,Asus VivoBook S530UN i5 8250U/4GB/1TB/2GB MX150/Win10 (BQ263T),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.900.000₫,Asus VivoBook S530UN i5 8250U/4GB/1TB/2GB MX150/Win10 (BQ263T),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.430.000₫,HP ProBook 440 G8 i3 1115G4/4GB/512GB/Win10 (2H0R6PA),Giá máy mới: 14.090.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.490.000₫,HP ProBook 440 G8 i3 1115G4/4GB/512GB/Win10 (2H0R6PA),Giá máy mới: 14.090.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.300.000₫,Asus VivoBook A415EA i3 1115G4/4GB/512GB/Win10 (EB317T),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.290.000₫,Acer Swift 3 SF315 51 54H0 i5 8250U/4GB/1TB/Win10 (NX.GSKSV.004),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.890.000₫,Acer Swift 3 SF315 51 54H0 i5 8250U/4GB/1TB/Win10 (NX.GSKSV.004),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
