Link,Tên sản phẩm,Thương hiệu,Nhà bán,Giá hiện tại,Xuất xứ thương hiệu,Xuất xứ,Công nghệ âm thanh,Bluetooth,Bus,Camera,Card đồ họa,Card Reader,Chip set,Kết nối,CPU,Tốc độ CPU,Kích thước,Loại/ Công nghệ màn hình,Dung lượng ổ cứng,Loại ổ đĩa,Loại pin,Loại RAM,Cổng internet (LAN),Trọng lượng,RAM,Độ phân giải,Kích thước màn hình,Hệ điều hành,Wifi,Thời gian pin,Giao tiếp mạng,Model,Nơi sản xuất,Ổ đĩa quang,Thiết kế card,Bộ nhớ đồ họa,Kết nối không dây khác,Cân nặng,Thời gian sạc,Hiển thị màu sắc,Nhà sản xuất
https://tiki.vn/compo-tap-noi-co-nhip-volum-gap-tren-10d-p115765061.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=115765091&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.115765091,Compo tập nối ( có nhíp volum gắp trên 10d),OEM,,699000,Việt Nam,Việt Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://tiki.vn/laptop-lg-gram-2020-15zd90n-v-ax56a5-core-i5-1035g7-8gb-512gb-nvme-15-fhd-ips-nonos-white-hang-chinh-hang-p51428110.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=97886675&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.97886675,Laptop LG Gram 2020 15ZD90N-V.AX56A5 (Core i5-1035G7/ 8GB/ 512GB NVMe/ 15 FHD IPS/ NonOS/ White) - Hàng Chính Hãng,LG,Tech IT Store,28990000,Hàn Quốc,Trung Quốc,HD Audio with DTS:X Ultra,v5.0,3200MHz ,HD Webcam with Dual Mic,Intel Iris Plus Graphics,"UFS, Micro SD",1035G7,"3x USB 3.1, HDMI, 1x USB 3.1 Gen2 Type-C, Thunderbolt 3 (Power delivery), Finger Print",Intel Core i5, 1.2GHz up to 3.7GHz 6MB,357.6 x 225.3 x 16.8 mm,"IPS, sRGB 96%, 300nits","512GB PCIe NVMe M.2 SSD (2 slot, còn trống 1 khe SSD)", SSD,80WHr 10.336mAh,DDR4,10/100 with RJ45 Gender,1.120 g,"8GB (1x SO-DIMM socket, up to 16GB SDRAM)",Full HD (1920 x 1080),15 inch,Non OS,Intel Wi-Fi 6 AX201D2W,,,,,,,,,,,,
https://tiki.vn/microsoft-surface-pro-2018-core-i5-8250u-8g-128gb-hang-chinh-hang-p8285447.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=19940011&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.19940011,Microsoft Surface Pro 2018 - Core i5-8250U/8G/128GB - Hàng Chính Hãng,Microsoft,NewTechShop,22500000,,,Loa Stereo (Dolby Audio Premium),4.1,,"Camera sau: 8.0MP autofocus, quay video 1080p HD, Camera trước: 5.0 MP camera trước, Quay video 1080p HD, Công nghệ Windows Hello nhận diện khuôn mặt",Intel UHD Graphics 620,MicroSDXC,8250U,"USB 3.0, 3.5 mm headphone jack, Mini DisplayPort, Surface Connect port, Surface Type Cover port, tương thích với Surface Dial",Intel Core 8th Gen i5,,29.21 x 20.142 x 0.85 mm,"267 ppi Touch, IPS",128GB,SSD ,Lithium-Polymer,,,775g,8GB,QHD+ (2736 x 1824),12.3 inch,Windows 10 Home,802.11 a / b / g / n / ac,13.5 giờ sử dụng,"Chuẩn WIFI: 802.11 ac
Kết nối không dây: Bluetooth 4.1",LGP-00001,Trung Quốc,Không,Tích hợp,,,,,,
https://tiki.vn/laptop-asus-rog-strix-scar-15-g533qm-hq054t-amd-r7-5800h-16gb-8gbx2-ddr4-3200mhz-512gb-ssd-pcie-g3x4-rtx-3060-6gb-gddr6-15-6-qhd-ips-165-hz-3ms-win10-hang-chinh-hang-p96821169.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=96821170&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.96821170,"Laptop Asus ROG Strix SCAR 15 G533QM-HQ054T (AMD R7-5800H/ 16GB (8GBx2) DDR4 3200MHz/ 512GB SSD PCIE G3X4/ RTX 3060 6GB GDDR6/ 15.6 QHD IPS, 165 Hz, 3ms/ Win10) - Hàng Chính Hãng",Asus,,44499000,Đài Loan,Trung Quốc,2x 4W speaker with Smart Amp Technology,v5.1,,,NVIDIA GeForce RTX 3060 6GB GDDR6 + AMD Radeon Graphics,,,1x Type C USB 3.2 Gen 2 with Power Delivery and Display Port; 3x USB 3.2 Gen 1 Type-A; 1x HDMI 2.0b; 1x 3.5mm Combo Audio Jack; 1x RJ45 LAN Jack; 1x Keystone,AMD Ryzen 7 5800H 3.2GHz up to 4.4GHz 16MB,,,"15.6"" QHD (2560 x 1440) IPS Non-Glare, NanoEdge, DCI-P3:100.00%, 300nits, 165Hz/3ms, Adaptive-Sync",512GB SSD PCIE G3X4 (3 slot),,4 Cell 90WHrs,,10/100/1000 Base T,2.3 kg,"16GB (8GBx2) DDR4 3200MHz (2x SO-DIMM socket, up to 64GB SDRAM)",2560 x 1440 pixels,15.6 inch,Windows 10 Home,Intel 802.11ax (2x2) Wi-Fi 6 (Gig+),,,,,,,,,,,,
https://tiki.vn/laptop-lg-gram-2020-17z90n-v-ah75a5-core-i7-1065g7-8gb-512gb-nvme-17-wqxga-ips-2560-1600-win10-home-plus-silver-hang-chinh-hang-p51428073.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=97888584&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.97888584,Laptop LG Gram 2020 17Z90N-V.AH75A5 (Core i7-1065G7/ 8GB/ 512GB NVMe/ 17 WQXGA IPS (2560*1600)/ Win10 Home Plus/ Silver) - Hàng Chính Hãng,LG,Tech IT Store,34490000,Hàn Quốc,Trung Quốc,HD Audio with DTS:X Ultra,v5.0,3200MHz ,HD Webcam with Dual Mic,Intel Iris Plus Graphics,,1065G7 ,"3x USB 3.1, HDMI, 1x USB 3.1 Gen2 Type-C, Thunderbolt 3 (Power delivery), Finger Print",Intel Core i7,1.30GHz up to 3.90GHz,380.6 x 262.6 x 17.4 mm,IPS,"512GB PCIe NVMe M.2 SSD (2 slot, còn trống 1 khe SSD)", SSD,80WHr 10.336mAh,DDR4,10/100 with RJ45 Gender,1.350g,"8GB (1x SO-DIMM socket, up to 16GB SDRAM)",WQXGA (2560 x 1600),17 inch,Windows 10 Home,	Intel Wi-Fi 6 AX201D2W,,,,,,,,,,,,
https://tiki.vn/surface-pro-7-core-i3-ram-4gb-sdd-128gb-brand-new-hang-chinh-hang-p47374311.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=56455246&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.56455246,Surface Pro 7 Core I3 Ram 4Gb Sdd 128Gb Brand New - Hàng chính hãng,Surface,,18189000,Mỹ,Mỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://tiki.vn/laptop-asus-rog-zephyrus-g14-ga401qe-k2026t-amd-r7-5800hs-16gb-8x2-ddr4-3200mhz-1tb-ssd-pcie-g3x4-gtx-3050ti-4gb-gddr6-14-wqhd-ips-120hz-win10-hang-chinh-hang-p108240688.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=108240689&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.108240689,"Laptop Asus ROG Zephyrus G14 GA401QE-K2026T (AMD R7-5800HS/ 16GB (8x2) DDR4 3200MHz/ 1TB SSD PCIE G3X4/ GTX 3050Ti 4GB GDDR6/ 14 WQHD IPS, 120Hz/ Win10) - Hàng Chính Hãng",Asus,,40359000,Đài Loan,Trung Quốc,"	2x 2.5W speaker with smart AMP technology, Dolby Atmos Software",v5.0,,,	NVIDIA GeForce GTX 3050Ti 4GB GDDR6 With ROG Boost up to 1585MHz at 60W (75W with Dynamic Boost),,,"1x Type C USB 3.1 Gen 2 with DisplayPort and Power Delivery up to 100W, 1x USB 3.1 Gen 2 Type-C, 2x USB 3.2 Gen 1 Type-A ,1x HDMI 2.0b, 1x 3.5mm Combo Audio Jack, FingerPrint",AMD Ryzen 7 5800HS 3.0GHz up to 4.3GHz 16MB,,," IPS with 72% NTSC, 120Hz, 100% sRGB, Pantone Validated, 75% AdobeRGB, 300nits",	1TB SSD PCIE G3X4,,4 Cell 76WHr,DDR4,,	1.73 kg,"16GB (8x2) DDR4 3200MHz (1x SO-DIMM socket, up to 24GB SDRAM)",,14 inch,,Intel Wi-Fi 6 with Gig+ performance (802.11AX) (2x2),,,GA401QE-K2026T,,,,4GB,,,,,
https://tiki.vn/laptop-asus-zenbook-flip-ux363ea-hp548t-core-i7-1165g7-16-gb-lpddr4x-4266-mhz-13-3-fhd-oled-touch-512gb-ssd-win10-hang-chinh-hang-p130355514.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=130355515&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.130355515,"Laptop Asus Zenbook Flip UX363EA-HP548T (Core i7-1165G7/ 16 GB, LPDDR4X, 4266 MHz/ 13.3 FHD OLED, Touch/ 512GB SSD/ Win10) - Hàng Chính Hãng",Asus,,32499000,Đài Loan,Trung Quốc,Audio by Harman/KardonSonicMaster audio,v5.0, 4267 MHz, Camera IRHD webcam, Intel Iris Xe Graphics,,,"1 x USB 3.2,  2 x Thunderbolt 4 USB-C,   HDMI",Intel Core i7 Tiger Lake - 1165G7,2.80 GHz Turbo Boost 4.7 GHz,Dài 305 mm - Rộng 211 mm - Dày 11.9 mm,"100% DCI-P3 , 400 nits,  OLED, Cảm ứng", SSD 512 GB NVMe PCIe,," 4-cell Li-ion, 67 Wh", LPDDR4X (On board),,1.3 kg, 16 GB  LPDDR4X  4267 MHz,Full HD (1920 x 1080),13.3 inch,Windows 10 Home SL,Wi-Fi 6 (802.11ax),,,Zenbook Flip UX363EA-HP548T,,, Card tích hợp,,,,,,
https://tiki.vn/laptop-asus-gaming-tuf-fx706hc-hx003t-i5-11400h-8gb-ram-512gb-ssd-17-3-fhd-rtx-3050-4gb-win10-xam-hang-chinh-hang-p117286354.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=121261076&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.121261076,Laptop Asus Gaming TUF FX706HC-HX003T (i5 11400H/8GB RAM/512GB SSD/17.3 FHD/RTX 3050 4Gb/Win10/Xám)- Hàng chính hãng,Asus,,26690000,Đài Loan,Trung Quốc,DTS Audio,Bluetooth 5.2,,HD webcam,NVIDIA GeForce RTX3050,,,3 x USB 3.2 ;Thunderbolt 4 USB-C;LAN (RJ45);HDMIJack tai nghe 3.5 mm,Intel Core i5 Tiger Lake 11400H,2.70 GHz Tốc độ tối đa Turbo Boost 4.5 GHz,,"Tấm nền IPS , Chống chói Anti Glare , 250 nits",512GB SSD,,"3-cell Li-ion, 48 Wh",DDR4 2 khe (1 khe 8GB + 1 khe rời),LAN (RJ45),2.6 Kg,8 GB,,,Win 10 bản quyền,Wi-Fi 6 (802.11ax),,,FX706HC-HX003T,,Không,,4G,Bluetooth 5.2Wi-Fi 6 (802.11ax),,,,
https://tiki.vn/laptop-lenovo-ideapad-gaming-3-15ihu6-82k1004yvn-core-i5-11300h-8-gb-ddr4-3200-mhz-rtx-3050-4gb-gddr6-15-6-fhd-ips-120hz-win10-hang-chinh-hang-p122202411.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=122202412&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.122202412,"Laptop Lenovo IdeaPad Gaming 3 15IHU6 82K1004YVN (Core i5-11300H/ 8 GB DDR4 3200 MHz/ RTX 3050 4GB GDDR6/ 15.6 FHD IPS, 120Hz/ Win10) - Hàng Chính Hãng",Lenovo,,23289000,Trung Quốc,Trung Quốc,Nahimic Audio,v5.0,,720p with Camera Shutter,"	NVIDIA GeForce RTX 3050 4GB GDDR6, Boost Clock 1500 / 1740MHz, TGP 90W",,,"1x USB-C 3.2 Gen 1 (support data transfer only), 2x USB 3.2 Gen 1, 1x HDMI 2.0, 1x RJ-45, 1x headphone / microphone combo jack (3.5mm), 1x power connector",Core i5 11300H 3.1Ghz Up to 4.4Ghz-8Mb,,,"IPS 250nits Anti-glare, 120Hz, 45% NTSC, DC dimmer",512GB SSD M.2 2242 PCIe 3.0x4 NVMe (Còn trống 1 khe 2.5 SATA3),,3 Cell 45WHr,,Ethernet (RJ-45),2.25 kg ,"8GB (8x1) DDR4 3200MHz (2x SO-DIMM socket, up to 16GB SDRAM)",,15.6 inch,,	802.11AX (2x2),,,15IHU6 82K1004YVN ,,,,,,,,,
https://tiki.vn/microsoft-surface-laptop-2-core-i5-8250u-ram-8gb-ssd-256gb-hang-chinh-hang-p21061945.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=21061947&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.21061947,Microsoft Surface Laptop 2 - Core i5-8250U/RAM 8GB/ SSD 256GB - Hàng Chính Hãng,Microsoft,NewTechShop,31900000,,,Stereo microphones Omnisonic Speakers with Dolby Audio Premium,,,,,,,,,,,,256GB,,,,,,,,,,,,,Microsoft Surface Laptop 2,,,,,,,,,
https://tiki.vn/laptop-lg-gram-2021-17z90p-g-ah76a5-core-i7-1165g7-16gb-lpddr4x-512gb-ssd-nvme-17-wqxga-ips-win10-hang-chinh-hang-p92621088.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=92621090&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.92621090,Laptop LG Gram 2021 17Z90P-G.AH76A5 (Core i7-1165G7/ 16GB LPDDR4X/ 512GB SSD NVMe/ 17 WQXGA IPS/ Win10) - Hàng Chính Hãng,LG,,52900000,Hàn Quốc,Trung Quốc,HD Audio with DTS:X Ultra,v5.1,4266MHz,HD Webcam with Dual Mic,Intel Iris Xe Graphics,"UFS, Micro SD",,"2x USB 3.2 Gen2, 2x USB Type-C Thunderbolt 4, 1x HDMI",Intel Core i7-1165G7 ,2.8GHz up to 4.7GHz 12MB,380.2 x 260.1 x 17.8 mm,"IPS, DCI-P3 99%","512GB PCIe NVMe M.2 SSD (2 slot, còn trống 1 khe M.2)",SSD,80WHr 10.336mAh,LPDDR4X,10/100 with RJ45 Gender,1.35kg,16GB (8GBx2),WQXGA (2560 x 1600),17 inch,Windows 10 Home,Intel Wi-Fi 6 AX201D2W,,,,,,Tích hợp,,,,,,
https://tiki.vn/laptop-asus-rog-strix-g17-g713qm-k4183t-amd-r9-5900hx-16gb-2x8-ddr4-3200mhz-512gb-ssd-pcie-g3x4-gtx-3060-6gb-gddr6-17-3-wqhd-ips-165hz-3ms-freesync-win10-hang-chinh-hang-p132820322.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=132820325&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.132820325,"Laptop Asus ROG Strix G17 G713QM-K4183T (AMD R9-5900HX/ 16GB (2x8) DDR4 3200MHz/ 512GB SSD PCIE G3X4/ GTX 3060 6GB GDDR6/ 17.3 WQHD IPS, 165Hz, 3ms, FreeSync/ Win10) - Hàng Chính Hãng",Asus,Tiki Trading,44499000,Đài Loan,Trung Quốc,Smart AMP technology,v5.1,3200MHz,,NVIDIA GeForce GTX 3060 6GB GDDR6 With ROG Boost up to 1802MHz at 115W (130W with Dynamic Boost),,,"1x Type C USB 3.2 Gen 2 with Power Delivery, Display Port and G-Sync, 3x USB 3.2 Gen 1 Type-A, 1x 3.5mm Combo Audio Jack, 1x RJ45 LAN port, 1x HDMI 2.0b",AMD Ryzen 9 5900HX,3.3GHz up to 4.6GHz 16MB,39.5 x 28.2 x 2.34 ~ 2.75 cm,"Anti-glare display, DCI-P3:100%, Pantone Validated, 165Hz, 3ms, IPS-level, FreeSync",512GB SSD PCIE G3X4 (Còn trống 1 khe SSD M.2 PCIE),,4 Cell 90WHr,DDR4,,2.7 kg,"16GB (2x8) DDR4 3200MHz (2x SO-DIMM socket, up to 32GB SDRAM)",2560 x 1440 pixels,17 inch,Windows 10 Home,Intel Wi-Fi 6(Gig+)(802.11ax) (2x2),,,,,,Rời,,,,,,
https://tiki.vn/msi-katana-gaming-gf66-11uc-i7-11800h-8gb-512gb-4gb-rtx3050-144hzbalo-win10-224vn-hang-chinh-hang-p121405782.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=121405786&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.121405786,Laptop MSI Katana Gaming GF66 11UC i7 11800H/8GB/512GB/4GB RTX3050/144HzBalo/Win10 (224VN) - Hàng chính hãng,MSI,Thế Giới Di Động Official,29790000,Đài Loan,Trung Quốc, Nahimic Audio,Bluetooth 5.2,,HD webcam, Card rời - NVIDIA GeForce RTX3050,,, Jack tai nghe 3.5 mm  2 x USB 3.2  HDMI  LAN (RJ45)  USB 2.0  USB Type-C,Intel Core i7 Tiger Lake - 11800H,2.30 GHz Tốc độ tối đa Turbo Boost 4.6 GHz,,LED/ Tấm nền IPS,SSD 512 GB NVMe PCIeKhông hỗ trợ khe cắm SSD M2 mở rộng thêm,,"3-cell Li-ion, 53 Wh",DDR4 2 khe (1 khe 8GB + 1 khe rời),LAN (RJ45),2.1 kg, 8 GB,,,Windows 10 Home SL,Wi-Fi 6 (802.11ax),,,GF66 11UC,,,,4 GB, Bluetooth 5.2Wi-Fi 6 (802.11ax),,,,
https://tiki.vn/laptop-lg-gram-2021-14zd90p-g-ax51a5-core-i5-1135g7-8gb-lpddr4x-256gb-ssd-nvme-14-wuxga-ips-nonos-hang-chinh-hang-p92613134.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=92613135&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.92613135,Laptop LG Gram 2021 14ZD90P-G.AX51A5 (Core i5-1135G7/ 8GB LPDDR4X/ 256GB SSD NVMe/ 14 WUXGA IPS/ NonOS) - Hàng Chính Hãng,LG,Tiki Trading,34900000,Hàn Quốc,Trung Quốc,HD Audio with DTS X Ultra,v5.1,,HD Webcam with Dual Mic,Intel Iris Xe Graphics,,,"HP-Out(4Pole Headset, US type), USB 3.2 Gen2x1 (x2), HDMI,  USB 4 Gen3x2 Type C (x2, with Power Delivery, Display Port, Thunderbolt 4)","Intel 11th Generation i5 (Quad Core) i5-1135G7 (2.4 GHz, Turbo up to 4.2 GHz, L3 Cache 8MB, 28 W)",,313.4 x 215.2 x 16.8 mm,IPS,256GB SSD,,72 Wh Li-Ion,,,999g,8GB LPDDR4X (Dual Channel),Full HD (1920 x 1080),14 inch,,"Intel Wireless-AX201 (802.11ax, 2x2, Dual Band, BT Combo)",,,14ZD90P-G.AX51A5,,,,,,,,,
https://tiki.vn/laptop-asus-expertbook-b1400ceae-bv3012t-core-i3-1115g4-4gb-256gb-ssd-14-hd-win10-hang-chinh-hang-p130172244.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=130172245&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.130172245,Laptop Asus ExpertBook B1400CEAE-BV3012T (Core i3-1115G4/ 4GB/ 256GB SSD/ 14 HD/ Win10) - Hàng Chính Hãng,Asus,Tiki Trading,13979000,Đài Loan,Trung Quốc,,V5.2,,Camera HD 720p,UMA,Micro SD,,"1x USB 2.0 Loại A, 1x USB 3.2 Thế hệ 1 Loại C hỗ trợ màn hình / power delivery, 2x USB 3.2 Thế hệ 2 Loại A, 1x Thunderbolt 4 hỗ trợ màn hình / power delivery, 1x HDMI 1.4, 1x Cổng VGA (D-Sub), 1x Giắc Âm thanh Kết hợp 3,5 mm, 1x RJ45 Gigabit Ethernet, 1x DC vào",Intel Core i3-1115G4,,32.34 x 21.56 x 1.92 ~ 1.92 cm,"Màn hình chống chói, LED Backlit, 220 nit",256GB,,"42WHrs, 3S1P, Li-ion 3 pin",DDR4,,1.45 kg,4GB,HD (1366 x 768),14 inch,Windows 10 Home,Wi-Fi 6(802.11ax),,,,,,,,,,,,
https://tiki.vn/surface-book-2-15-inch-core-i7-ram-16gb-512gb-new-hang-chinh-hang-p55651297.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=55651298&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.55651298,Surface Book 2 15 Inch Core I7 Ram 16Gb 512Gb (New) - Hàng chính hãng,Surface,,58000000,Mỹ,Mỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://tiki.vn/laptop-dell-vostro-3400-70235020-core-i3-1115g4-8gb-256gb-ssd-14-fhd-win10-hang-chinh-hang-p77694537.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=78010654&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.78010654,Laptop Dell Vostro 3400 70235020 (Core i3-1115G4/ 8GB/ 256GB SSD/ 14 FHD/ Win10) - Hàng Chính Hãng,Dell,,16300000,Mỹ,Trung Quốc,Realtek ALC3204; 2*2W,V5.0,3200Mhz,HD,Intel UHD Graphics,SD,,"2 USB 3.2 Type-A, 1 USB 2.0; 1 Ethernet RJ-45, 1 HDMI 1.4, 1 USB 3.2 Gen 2 Type-C (Optional)",Intel Core i3 1115G4 (3.0Ghz/6MB cache),,,,256GB,SSD,42Wh,DDR4,,1.64Kg,8GB,Full HD (1920 x 1080),14 inch,Win 10 Home SL 64,802.11ac,,,,,,Tích hợp,Share,,,,,
https://tiki.vn/laptop-dell-inspiron-7501-n5i5012w-core-i5-10300h-8gb-ddr4-2933mhz-512gb-ssd-m-2-pcie-nvme-gtx-1650ti-4gb-gddr6-15-6-fhd-ips-win10-hang-chinh-hang-p81437713.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=81437714&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.81437714,Laptop Dell Inspiron 7501 N5I5012W (Core i5-10300H/ 8GB DDR4 2933MHz/ 512GB SSD M.2 PCIe NVMe/ GTX 1650Ti 4GB GDDR6/ 15.6 FHD IPS/ Win10) - Hàng Chính Hãng,Dell,,27990000,Mỹ,Trung Quốc,Realtek High Definition Audio (Speaker : 2 x 2W),v5.0,,HD Web Camera with dual-array microphones,NVIDIA GeForce GTX 1650Ti 4GB GDDR6 + Intel UHD Graphics,Micro-SD reader (support mSD/mSDHC/mSDXC),,2x USB 3.2 Gen 1 Type-A; 1x USB 3.2 Gen 2 (Type-C) port with Thunderbolt/DisplayPort/Power Delivery (for computers shipped with NVIDIA GeForce GTX 1650 Ti); 1x HDMI; 1x Headphone/Microphone combo jack; Finger Print,Intel Core i5-10300H 2.5GHz up to 4.5GHz 8MB,,35.61 x 23.45 x 1.89 (cm),"15.6"" FHD (1920 x 1080) IPS, Anti-Glare, 100% sRGB, 64% Adobe RGB",512GB SSD M.2 PCIe NVMe,,3 Cell 56WHr,,,1.9 kg,"8GB DDR4 2933MHz Onboard (1x SO-DIMM socket, up to 32GB SDRAM)",Full HD (1920 x 1080),15.6 inch,Windows 10 Home,Intel Wi-Fi 6 AX201 (2x2),,,,,,,,,,,,
https://tiki.vn/laptop-dell-inspiron-15-3511-p112f001abl-core-i3-1115g4-4gb-ddr4-256gb-ssd-nvme-pcie-15-6-fhd-win10-officeh-s-2019-hang-chinh-hang-p127257005.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=127257007&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.127257007,Laptop Dell Inspiron 15 3511 P112F001ABL (Core i3-1115G4/ 4GB DDR4/ 256GB SSD NVMe PCIe/ 15.6 FHD/ Win10 + OfficeH&S 2019) - Hàng Chính Hãng,Dell,,14799000,Mỹ,Trung Quốc,,BT 5.0,,,Intel UHD Graphics,,,,"Intel Core i3-1115G4 (6MB Cache, 3.0GHz, Turbo Boost 4.1GHz)",,Front height 18.99 mmWidth 358.5 mmDepth 235.56 mm,15.6-inch FHD (1920 x 1080) Anti-glare LED Backlight Non-Touch Narrow Border WVA Display,256GB M.2 PCIe NVMe SSD,,3 Cell 41WHr,4GB (1x4GB) DDR4 2666MHz,,,,,,Win10 Home SL,WLAN 802.11ac,3 Cell 41WHr,,P112F001ABL,,,,,,~1.85 kg kg,,,
