Link,Tên sản phẩm,Thương hiệu,Nhà bán,Giá hiện tại,Xuất xứ thương hiệu,Xuất xứ,Công nghệ âm thanh,Bluetooth,Bus,Camera,Card đồ họa,Card Reader,Chip set,Kết nối,CPU,Tốc độ CPU,Kích thước,Loại/ Công nghệ màn hình,Dung lượng ổ cứng,Loại ổ đĩa,Loại pin,Loại RAM,Cổng internet (LAN),Trọng lượng,RAM,Độ phân giải,Kích thước màn hình,Hệ điều hành,Wifi,Thời gian pin,Giao tiếp mạng,Model,Nơi sản xuất,Ổ đĩa quang,Thiết kế card,Bộ nhớ đồ họa,Kết nối không dây khác,Cân nặng,Thời gian sạc,Hiển thị màu sắc,Nhà sản xuất
https://tiki.vn/laptop-lenovo-yoga-slim-7-14itl05-82a300a6vn-core-i7-1165g7-8gb-ddr4-3200mhz-onboard-512gb-m-2-2280-pcie-4-0x4-nvme-14-fhd-ips-win10-hang-chinh-hang-p125891631.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=125891632&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.125891632,Laptop Lenovo Yoga Slim 7 14ITL05 82A300A6VN (Core i7-1165G7/ 8GB DDR4 3200MHz Onboard/ 512GB M.2 2280 PCIe 4.0x4 NVMe/ 14 FHD IPS/ Win10) - Hàng Chính Hãng,Lenovo,,25999000,Trung Quốc,Trung Quốc,Dolby Atmos Speaker,v5.0,3200MHz,"IR & HD720p (1.0MP) camera with ToF sensor, fixed focus",Intel Iris Xe Graphics,MicroSD Card Reader,,"2x USB 3.2 Type-A Gen 1 (one always on), 2x Thunderbolt 4 / USB 4 40 Gbps (w/ the function of PD 3.0 and DP 1.4), 1x HDMI 1.4b, 1x headphone / microphone combo jack",Intel Core i7-1165G7 ,2.8GHz up to 4.7GHz 12MB,320.6 x 208.18 x 14.9mm,"IPS, 300nits, Glossy, 100% sRGB",512GB SSD M.2 2280 PCIe 3.0x4 NVMe,SSD,4Cell 60.7Wh,DDR4,,1.36 Kg,8GB,Full HD (1920 x 1080),14 inch,Window 10 Home,Wi-Fi 6 2x2 (802.11ax),,,,,,Tích hợp,,,,,,
https://tiki.vn/laptop-msi-gs66-stealth-11ug-210vn-core-i7-11800h-32gb-16gbx2-ddr4-3200mhz-2tb-ssd-pcie-g3x4-rtx3070-max-q-8gb-gddr6-15-6-fhd-ips-300hz-win10-hang-chinh-hang-p129356513.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=129356514&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.129356514,"Laptop MSI GS66 Stealth 11UG-210VN (Core i7-11800H/ 32GB (16GBx2) DDR4 3200MHz/ 2TB SSD PCIE G3X4/ RTX3070 Max-Q 8GB GDDR6/ 15.6 FHD IPS, 300Hz/ Win10) - Hàng Chính Hãng",MSI,,55279000,Đài Loan,Trung Quốc,Sound by Dynaudio and High-Resolution Audio ready (2x 2W Speaker),v5.2,3200MHz,IR HD type (30fps@720p),"NVIDIA GeForce RTX3070 Max-Q 8GB GDDR6, Up to 1410MHz Boost Clock, 95W Maximum Graphics Power with Dynamic Boost.",,,"1x Type-C (USB4 / DP / Thunderbolt4) with PD charging, 1x Type-C (USB3.2 Gen2 / DP), 3x Type-A USB3.2 Gen2, 1x RJ-45, 1x (8K @ 60Hz / 4K @ 120Hz) HDMI",Intel Core i7-11800H ,2.3GHz up to 4.6GHz 24MB,358.3 x 248 x 18.3-19.8 (mm),"IPS with Anti-Glare, 300Hz, 3ms, Thin Bezel, 100% sRGB",2TB SSD PCIE G3X4 (2 slots),SSD,4 Cell 99.9WHr,DDR4,Killer Gb LAN (Up to 2.5G),2.1 kg,"32GB (16GBx2) DDR4 3200MHz (2x SO-DIMM socket, up to 64GB SDRAM)",Full HD (1920 x 1080),15.6 inch,Windows 10 Home,Intel Wi-Fi 6E AX210(2x2),,,,,,Rời,,,,,,
https://tiki.vn/laptop-lg-gram-2021-16z90p-g-ah73a5-core-i7-1165g7-16gb-lpddr4x-256gb-ssd-nvme-16-wqxga-ips-win10-hang-chinh-hang-p92610142.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=92610143&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.92610143,Laptop LG Gram 2021 16Z90P-G.AH73A5 (Core i7-1165G7/ 16GB LPDDR4X/ 256GB SSD NVMe/ 16 WQXGA IPS/ Win10) - Hàng Chính Hãng,LG,Tiki Trading,48900000,Hàn Quốc,Trung Quốc,HD Audio with DTS X Ultra,BT 5.1,,HD Webcam with Dual Mic.,"Intel Iris Xe Graphics (i7,i5) ",UFS/ Micro SD,,"HP-Out(4Pole Headset, US type), USB 3.2 Gen2x1 (x2), HDMI,  USB 4 Gen3x2 Type C (x2, with Power Delivery, Display Port, Thunderbolt 4)","Intel 11th Generation i7 (Quad Core) 'i7-1165G7 (2.8 GHz, Turbo up to 4.7 GHz, L3 Cache 12MB, 28W) - QC",,"
355.9 x 243.4 x 16.8 mm
14.01 x 9.58 x 0.66""
","16.0"" (40.6cm) WQXGA (2560*1600) IPS LCD, (Non-Touch)",M.2(2280) Dual SSD slots - NVME: 256GB,,80 Wh Li-Ion,,,"1,190g / 2.62 lbs",16GB LPDDR4X (Dual Channel),,16 inch,Windows 10 Home (64bit),"Intel Wireless-AX201 (802.11ax, 2x2, Dual Band, BT Combo)",MobileMark 2018:  Up to 16.5 hours; MobileMark 2014:  Up to 22 hours; Video playback:  Up to 24.5 hours; JEITA 2.0:  Up to 30 hours,,,,,,,,,,,
https://tiki.vn/acer-nitro-5-gaming-an515-57-74nu-i7-11800h-8gb-512gb-4gb-rtx3050ti-144hz-balo-win10-nh-qd9sv-001-hang-chinh-hang-p121405787.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=121405790&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.121405790,Laptop Acer Nitro 5 Gaming AN515 57 74NU i7 11800H/8GB/512GB/4GB RTX3050Ti/144Hz/Balo/Win10 (NH.QD9SV.001.) - Hàng chính hãng,Acer,,28990000,Đài Loan,Trung Quốc,"Acer TrueHarmony, DTS X:Ultra Audio",Bluetooth 5.1,, HD webcam, Card rời - NVIDIA GeForce RTX3050Ti,,,Jack tai nghe 3.5 mm  3 x USB 3.2  HDMI  LAN (RJ45)  USB Type-C, Intel Core i7 Tiger Lake - 11800H, 2.30 GHz Tốc độ tối đa  Turbo Boost 4.6 GHz,,Tấm nền IPS  LED Backlit  Acer ComfyView,"SSD 512 GB NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)  Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)  Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB)",,"4-cell Li-ion, 57 Wh", DDR4 2 khe (1 khe 8GB + 1 khe rời),LAN (RJ45),2.2 Kg, 8 GB,,,Windows 10 Home SL, Wi-Fi 6 (802.11ax),,,AN515 57 74NU,,,,4 GB, Wi-Fi 6 (802.11ax)Bluetooth 5.1,,,,
https://tiki.vn/laptop-asus-rog-zephyrus-g14-ga401qm-k2041t-amd-r9-5900hs-32gb-16x2-ddr4-3200mhz-1tb-ssd-pcie-g3x4-gtx-3060-6gb-gddr6-14-wqhd-ips-120hz-win10-hang-chinh-hang-p132820703.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=132820704&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.132820704,"Laptop Asus ROG Zephyrus G14 GA401QM-K2041T (AMD R9-5900HS/ 32GB (16x2) DDR4 3200MHz/ 1TB SSD PCIE G3X4/ GTX 3060 6GB GDDR6/ 14 WQHD IPS, 120Hz/ Win10) - Hàng Chính Hãng",Asus,Tiki Trading,48539000,Đài Loan,Trung Quốc,,v5.0,,,NVIDIA GeForce GTX 3060 6GB GDDR6 With ROG Boost up to 1802MHz at 115W (130W with Dynamic Boost),,,"1x Type C USB 3.1 Gen 2 with DisplayPort and Power Delivery up to 100W, 1x USB 3.1 Gen 2 Type-C, 2x USB 3.2 Gen 1 Type-A, 1x HDMI 2.0b, 1x 3.5mm Combo Audio Jack, FingerPrint",AMD Ryzen 9 5900HS 3.0GHz up to 4.6GHz 16MB,3.0GHz up to 4.6GHz,32.4 x 22 x 1.99 (cm),"IPS with 72% NTSC, 120Hz, 100% sRGB, Pantone Validated, 75% AdobeRGB, 300nits",1TB SSD PCIE G3X4,,4 Cell 76WHr,,,1.73 kg,"32GB (16x2) DDR4 3200MHz (1x SO-DIMM socket, up to 32GB SDRAM)",,,Windows 10 Home,	Intel Wi-Fi 6 with Gig+ performance (802.11AX) (2x2),,,GA401QM-K2041T,,,,,,,,,
https://tiki.vn/apple-macbook-air-2020-m1-13-inchs-apple-m1-8gb-256gb-hang-chinh-hang-p73795621.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=76756095&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.76756095,Apple MacBook Air 2020 M1 - 13 Inchs (Apple M1/ 8GB/ 256GB) - Hàng Chính Hãng,Apple,NGUYENVUSTORE,27490000,Mỹ,Trung Quốc,,Bluetooth 5.0 wireless technology,,720p FaceTime HD camera,The 7-core GPU in M1 chip,,,"Two Thunderbolt 3 ports (USB 4) with support for: Charging, Display, ThunderBolt (up to 40 Gbps), USB-C 3.1 Gen 2 (up to 10 Gbps)",,,,13.3-inch (diagonal) LED-backlit display with IPS technology; 2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors 400 nits brightness; Wide color (P3); True Tone technology,256GB,,,,IEEE 802.11a/b/g/n/ac compatible,,8GB,,,,802.11ax Wi-Fi 6 wireless networking,,,,,,,,,,,,
https://tiki.vn/laptop-lenovo-v15-g2-itl-82kb00cvvn-core-i5-1135g7-8gb-ddr4-3200mhz-onboard-512gb-ssd-m-2-2242-pcie-mx350-2gb-gddr5-15-6-fhd-win10-hang-chinh-hang-p132221842.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=132221843&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.132221843,Laptop Lenovo V15 G2 ITL 82KB00CVVN (Core i5-1135G7/ 8GB DDR4 3200MHz Onboard/ 512GB SSD M.2 2242 PCIe/ MX350 2GB GDDR5/ 15.6 FHD/ Win10) - Hàng Chính Hãng,Lenovo,,18529000,Trung Quốc,Trung Quốc,Dolby Advanced Audio,v5.0,,0.3MP with Privacy Shutter,NVIDIA GeForce MX350 2GB GDDR5 + Intel Iris Xe Graphics,,,"1x USB-C 3.2 Gen 1 (support data transfer only), 1x USB 3.2 Gen 1, 1x USB 2.0, 1x Power connector ,1x Ethernet (RJ-45), 1x HDMI 1.4b,1x Headphone / microphone combo jack (3.5mm)",Intel Core i5-1135G7 2.4GHz up to 4.2GHz 8MB,,,"TN, Anti-Glare, 250nits, 45% NTSC","512GB SSD M.2 2242 PCIe 3.0x4 NVMe (Còn trống 1 khe 2.5"" SATA)",,3 Cells 45WHrs,,100/1000M,1.7kg,"8GB DDR4 3200MHz Onboard (1x SO-DIMM socket, up to 16GB SDRAM)",,15.6 inch,,802.11AC (2x2),,,V15 G2 ITL 82KB00CVVN,,,,,,,,,
https://tiki.vn/laptop-dell-inspiron-14-5406-tycjn1-core-i7-1165g7-8gb-ddr4-3200mhz-512gb-m-2-pcie-nvme-mx330-2gb-gddr5-14-fhd-ips-win10-hang-chinh-hang-p75557641.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=128932296&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.128932296,Laptop Dell Inspiron 14 5406 TYCJN1 (Core i7-1165G7/ 8GB DDR4 3200MHz/ 512GB M.2 PCIe NVMe/ MX330 2GB GDDR5/ 14 FHD IPS/ Win10) - Hàng Chính Hãng,Dell,,29990000,Mỹ,Trung Quốc,,v5.1,,HD camera with dual-array microphones,NVIDIA GeForce MX330 2GB GDDR5 + Intel Iris Xe Graphics,,,2 x USB 3.2 Gen 1 ports Type A; 1 x USB 3.2 Gen2 Type-C with DisplayPort; 1 x HDMI 1.4b port; 1 x SD-card slot; 1 x headset (headphone and microphone combo) port,Intel Core i7-1165G7 Processor,"2.80GHz up to 4.70GHz, 4 nhân 8 luồng",,14.0 Inch FHD Touch IPS 60Hz Wide Viewing Angle,512GB SSD M.2 PCIe NVMe,,,,,,8GB DDR4 3200MHz (1 x 8GB),Full HD (1920 x 1080),,,Intel Wi-fi 6 2x2 (Gig+),,,,,,,,,,,,
https://tiki.vn/decal-dan-laptop-cho-macbook-mac-232-p81961413.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=81961422&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.81961422,Decal Dán Laptop Cho Macbook Mac - 232,OEM,,115000,Việt Nam,Việt Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://tiki.vn/laptop-acer-aspire-3-a315-56-502x-nx-hs5sv-00f-core-i5-1035g1-4gb-ddr4-2666mhz-256gb-ssd-m-2-pcie-15-6-fhd-ips-win10-hang-chinh-hang-p97045023.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=97045024&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.97045024,Laptop Acer Aspire 3 A315-56-502X NX.HS5SV.00F (Core i5-1035G1/ 4GB DDR4 2666MHz/ 256GB SSD M.2 PCIE/ 15.6 FHD IPS/ Win10) - Hàng Chính Hãng,Acer,,13969000,Đài Loan,Trung Quốc,Realtek High Definition,v4.2,2666MHz,HD Webcam,Intel UHD Graphics,,,,Intel Core i5-1035G1,1.0GHz up to 3.6GHz 6MB,363 x 247.5 x 19.9 (mm),"IPS, Acer ComfyView LCD, Anti-Glare","256GB SSD M.2 PCIE, 1x slot SATA3 2.5""",SSD,2 Cell 36.7 Whr,DDR4,10/100/1000 Mbps,1.7 kg,4GB,Full HD (1920 x 1080),15.6 inch,Windows 10 Home,802.11a/b/g/n/ac,,,,,,Tích hợp,Tích hợp,,,,,
https://tiki.vn/tui-chong-soc-tomtoc-usa-360-protective-macbook-surface-13-3inch-dazzling-blue-a13-p105038651.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=105038668&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.105038668,Túi chống sốc  (USA) 360° Protective Macbook - Surface 13.3inch Dazzling Blue - A13,OEM,,780000,Việt Nam,Việt Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://tiki.vn/laptop-lg-gram-2021-14zd90p-g-ax56a5-core-i5-1135g7-16gb-lpddr4x-512gb-ssd-nvme-14-wuxga-ips-nonos-hang-chinh-hang-p92613021.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=109067534&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.109067534,Laptop LG Gram 2021 14ZD90P-G.AX56A5 (Core i5-1135G7/ 16GB LPDDR4X/ 512GB SSD NVMe/ 14 WUXGA IPS/ NonOS) - Hàng Chính Hãng,LG,Tech IT Store,37900000,Hàn Quốc,Trung Quốc,HD Audio with DTS X Ultra,,,v5.1,Intel Iris Xe Graphics,,,"HP-Out(4Pole Headset, US type), USB 3.2 Gen2x1 (x2), HDMI,  USB 4 Gen3x2 Type C (x2, with Power Delivery, Display Port, Thunderbolt 4)","Intel 11th Generation i5 (Quad Core) i5-1135G7 (2.4 GHz, Turbo up to 4.2 GHz, L3 Cache 8MB, 28 W)",,313.4 x 215.2 x 16.8 mm,IPS,512GB SSD,,72 Wh Li-Ion,,,999g,16GB LPDDR4X (Dual Channel),,14 inch,,"Intel Wireless-AX201 (802.11ax, 2x2, Dual Band)",,,14ZD90P-G.AX56A5,,,,,,,,,
https://tiki.vn/laptop-chromebook-touch-nl6d-hang-chinh-hang-p95995234.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=95995235&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.95995235,LAPTOP CHROMEBOOK TOUCH (NL6D) - Hàng Chính Hãng,Intel,,11500000,Singapore,china,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://tiki.vn/laptop-acer-nitro-5-an515-57-50ft-i5-11400h-16gb-512gb-4gb-rtx3050-15-6-f-144hz-balo-win10-nh-qd8sv-003-den-hang-chinh-hang-p122474850.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=122474851&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.122474851,"Laptop Acer Nitro 5 AN515 57 50FT i5 11400H/16GB/512GB/4GB RTX3050/15.6""F/144Hz/Balo/Win10/(NH.QD8SV.003)/Đen - Hàng chính hãng",Acer,Thế Giới Di Động Official,26490000,Đài Loan,Trung Quốc," Acer TrueHarmony, DTS X:Ultra Audio",Có,,HD webcam, Card rời - NVIDIA GeForce RTX3050,,,Jack tai nghe 3.5 mm  3 x USB 3.2  HDMI  LAN (RJ45)  USB Type-C, Intel Core i5 Tiger Lake - 11400H, 2.70 GHz Tốc độ tối đa Turbo Boost 4.5 GHz,,Tấm nền IPS  LED Backlit  Acer ComfyView Tần số quét 144Hz,"SSD 512 GB NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)  Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)  Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB)",SSD,4-cell Li-ion, DDR4 2 khe (1 khe 8GB + 1 khe 8GB),LAN (RJ45),2.2 kg,16 GB,,,"
Windows 10 Home SL",Có,,"
Wi-Fi 6 (802.11ax), Bluetooth 5.1",AN515 57 50FT,,,,4 GB," Wi-Fi 6 (802.11ax), Bluetooth 5.1",,57 Wh,,
https://tiki.vn/laptop-lenovo-yoga-slim-7i-pro-14iuh5o-82nh0011vn-core-i7-11370hg-16gb-lpddr4x-4266mhz-onboard-1tb-m-2-2280-pcie-3-0x4-nvme-mx450-2gb-gddr6-14-2-8k-ips-400nits-90hz-oled-win10-hang-chinh-hang-p125897191.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=125897192&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.125897192,Laptop Lenovo Yoga Slim 7i Pro 14IHU5O 82NH0011VN (Core i7-11370HG/ 16GB LPDDR4x 4266MHz Onboard/ 1TB M.2 2280 PCIe 3.0x4 NVMe/ MX450 2GB GDDR6/ 14 2.8K IPS 400nits 90Hz OLED/ Win10) - Hàng Chính Hãng,Lenovo,,33499000,Trung Quốc,Trung Quốc,,v5.1,,720p + IR + ToF ,NVIDIA GeForce MX450 2GB GDDR6,,," 1 x USB 3.2 Gen 1 (Always On),  2 x Thunderbolt 4 / USB4 40Gbps (support data transfer, Power Delivery 3.0 and DisplayPort 1.4),  1 x headphone / microphone combo jack (3.5mm)","Intel Core i7-11370H (3.30GHz up to 4.80GHz, 12MB Cache)",,,"IPS 400nits Glossy, 90Hz, 100% sRGB, Dolby Vision, glass OLED",1TB M.2 2280 PCIe 3.0x4 NVMe SSD,,"4 Cell, 61WHrs",,,1.30 kg,16GB LPDDR4x 4266MHz Onboard,,14 inch,,802.11ax 2x2 Wi-Fi,,,82NH0011VN ,,,,,,,,,
https://tiki.vn/laptop-asus-rog-strix-scar-15-g533qm-hq074t-amd-r9-5900hx-16gb-8gbx2-ddr4-3200mhz-1tb-ssd-pcie-g3x4-rtx-3060-6gb-gddr6-15-6-wqhd-ips-165-hz-3ms-win10-hang-chinh-hang-p96716891.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=96716892&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.96716892,"Laptop Asus ROG Strix SCAR 15 G533QM-HQ074T (AMD R9-5900HX/ 16GB (8GBx2) DDR4 3200MHz/ 1TB SSD PCIE G3X4/ RTX 3060 6GB GDDR6/ 15.6 WQHD IPS, 165 HZ, 3ms/ Win10) - Hàng Chính Hãng",Asus,,47609000,Đài Loan,Trung Quốc,Dolby Atmos,v5.1,,,NVIDIA GeForce RTX 3060 6GB GDDR6 With ROG Boost up to 1802MHz at 115W (130W with Dynamic Boost) + AMD Radeon Graphics,,,"1x Type C USB 3.2 Gen 2 with Power Delivery and Display Port, 3x USB 3.2 Gen 1 Type-A, 1x HDMI 2.0b, 1x 3.5mm Combo Audio Jack ,1x RJ45 LAN Jack ,1x Keystone",AMD Ryzen 9 5900HX 3.3GHz up to 4.6GHz 16MB,,,"IPS Non-Glare, NanoEdge, DCI-P3:100.00%, 300nits, 165Hz/3ms, Adaptive-Sync",1TB SSD PCIE G3X4 (2 slot),,4 Cell 90WHrs,DDR4,10/100/1000 Base T,2.3 kg,"16GB (8GBx2) DDR4 3200MHz (2x SO-DIMM socket, up to 64GB SDRAM)",,15.6 inch,,Intel 802.11ax (2x2) Wi-Fi 6 (Gig+),,,G533QM-HQ074T,,,,,,,,,
https://tiki.vn/laptop-dell-inspiron-3505-y1n1t5-amd-r5-3500u-8gb-512gb-ssd-15-6-fhd-win10-office-hang-chinh-hang-p129937275.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=129937276&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.129937276,Laptop Dell Inspiron 3505 Y1N1T5 (AMD R5-3500U/ 8GB/ 512GB SSD/ 15.6 FHD/ Win10 + Office) - Hàng Chính Hãng,Dell,,19499000,Mỹ,Trung Quốc,,Có,,HD,AMD Radeon Vega 8 Graphics,SD,,	1 x USB 2.0 Type-A ; 2 x USB 3.1 Gen 1 Type-A ; 1 x HDMI ; 1 x RJ45 ; 1 x Headphone/Microphone combo jack ; 1 x SATA3,AMD Ryzen 5 3500U (2.1Ghz/4MB cache),,,Anti-glare LED Backlight,512GB  SSD M.2 PCIe NVMe (Có khe cắm HDD),,3 cell 42Wh,DDR4,,1.83Kg,8GB DDR4 (2* 4GB),Full HD (1920 x 1080),15.6 inch,Win 10 Home + Office Home & Student 2019,802.11ac 1x1 WiFi ,,,,,,,,,,,,
https://tiki.vn/laptop-hp-340s-g7-224l1pa-i3-1005g1-4gb-ram-512gb-ssd-14-fhd-win-10-xam-hang-chinh-hang-p108591561.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=108591562&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.108591562,"Laptop HP 340s G7 224L1PA i3 1005G1 | 4GB RAM | 512GB SSD | 14"" FHD | Win 10 | Xám - Hàng Chính Hãng",HP,,13591000,Việt Nam,Việt Nam,,,,,,,,,,,,,,,,,,1470g,,,,Windows,,,,,,,,,,,,,
https://tiki.vn/laptop-acer-nitro-5-an515-45-r9sc-nh-qbrsv-001-amd-r7-5800h-8gb-ddr4-3200mhz-512gb-ssd-m-2-pcie-rtx-3070-8gb-gddr6-15-6-fhd-ips-144hz-win10-hang-chinh-hang-p96991537.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=96991540&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.96991540,"Laptop Acer Nitro 5 AN515-45-R9SC NH.QBRSV.001 (AMD R7-5800H/ 8GB DDR4 3200MHz/ 512GB SSD M.2 PCIE/ RTX 3070 8GB GDDR6/ 15.6 FHD IPS, 144Hz/ Win10) - Hàng Chính Hãng",Acer,,37629000,Đài Loan,Trung Quốc,"Waves MaxxAudio, Acer TrueHarmony",v5.0,,HD Webcam,NVIDIA GeForce RTX 3070 8GB GDDR6 + AMD Radeon Graphics,,AMD Ryzen 7,"1x USB 3.2 Gen 2 Type-C Ports (up to 10 Gbps), 1x USB 3.2 Gen 2 Type-A Ports , 2x USB 3.2 Gen 1 Type-A Ports, RJ45, 1x HDMI",AMD Ryzen 7 5800H 3.2GHz up to 4.4GHz 16MB,3.2GHz up to 4.4GHz,,"IPS, 144Hz, Anti-Glare","	512GB SSD M.2 PCIE (Còn trống 1 khe SSD M.2 PCIE và 1 khe 2.5"" SATA)",,4 Cell 57WHr,DDR4,10/100/1000/Gigabits Base T,2.30 kg,"8GB DDR4 3200MHz (2x SO-DIMM socket, up to 32GB SDRAM)",Full HD (1920 x 1080),,,802.11AX (2x2),,,NH.QBRSV.001,,,,8GB,,,,,
https://tiki.vn/laptop-dell-inspiron-7490-core-i7-10510u-8gb-512gb-full-hd-win-10-silver-hang-nhap-khau-my-p119070834.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=119070835&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.119070835,Laptop Dell Inspiron 7490 Core i7-10510U / 8GB / 512GB / Full HD / Win 10 / Silver - Hàng Nhập Khẩu Mỹ,Dell,Hà Nội Lab,25950000,Mỹ,Mỹ,Intel High Waves MaxxAudio Pro,Chuẩn Bluetooth Ver. 4.0,,HD Camera (720p),Intel UHD Graphics,,,3.5 mm Headphone/Microphone combination jack; 2 USB 3.1 Gen 1; 1 Thunderbolt 3 (DP/Power Delivery) Type-C; 1 HDMI 2.0,Intel Core i7-10510U 1.8 Ghz up to 4.9 GHz,up to 4.9 GHz,,14.0 inch FHD (1920x1080) TrueLife Non-Touch 300nits 100%sRGB Wide Viewing Angle LED-Backlit Display,512GB,SSD,"4-Cell Battery, 52 Whr (Integrated)","8GB, LPDDR3, 2133 MHz, Integrated",None,1.2 kg,"8GB, LPDDR3, 2133 MHz, Integrated",,,Windows 10 Bản quyền,802.11ax 2x2 WiFi,,802.11ax 2x2 WiFi and Bluetooth,Dell Inspiron 7490,,None,Onboard,,802.11ax 2x2 WiFi and Bluetooth,,,Màu Bạc,Dell
