Link,Tên sản phẩm,Thương hiệu,Nhà bán,Giá hiện tại,Xuất xứ thương hiệu,Xuất xứ,Công nghệ âm thanh,Bluetooth,Bus,Camera,Card đồ họa,Card Reader,Chip set,Kết nối,CPU,Tốc độ CPU,Kích thước,Loại/ Công nghệ màn hình,Dung lượng ổ cứng,Loại ổ đĩa,Loại pin,Loại RAM,Cổng internet (LAN),Trọng lượng,RAM,Độ phân giải,Kích thước màn hình,Hệ điều hành,Wifi,Thời gian pin,Giao tiếp mạng,Model,Nơi sản xuất,Ổ đĩa quang,Thiết kế card,Bộ nhớ đồ họa,Kết nối không dây khác,Cân nặng,Thời gian sạc,Hiển thị màu sắc,Nhà sản xuất
https://tiki.vn/microsoft-surface-pro-2018-core-i7-8650u-8g-256gb-kju-00016-hang-chinh-hang-p8286686.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=20149935&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.20149935,Microsoft Surface Pro 2018 - Core i7-8650U/8G/256GB (KJU-00016) - Hàng Chính Hãng,Microsoft,NewTechShop,38080000,,,Loa Stereo (Dolby Audio Premium),V4.1,,"Camera sau: 8.0MP autofocus, quay video 1080p HD, Camera trước: 5.0 MP camera trước, Quay video 1080p HD, Công nghệ Windows Hello nhận diện khuôn mặt",Intel UHD Graphics 620,MicroSDXC,8650U,"USB 3.0, 3.5 mm headphone jack, Mini DisplayPort, Surface Connect port, Surface Type Cover port, tương thích với Surface Dial",Intel Core i7,1.9GHz Turbo Boost 4.2GHz,29.21 x 20.142 x 0.85 mm,"267 ppi Touch, IPS",256GB,SSD ,Lithium-Polymer,,Không,775g,8GB,QHD+ (2736 x 1824),12.3 inch,Windows 10 Home,802.11 a / b / g / n / ac,13.5 giờ sử dụng,"Chuẩn WIFI: 802.11 ac
Kết nối không dây: Bluetooth 4.1",KJU-00016,Trung Quốc,Không,Tích hợp,,,,,,
https://tiki.vn/microsoft-surface-pro-x-13-sq1tm-8gb-128gb-ssd-wifi-4g-lte-black-hang-nhap-khau-p50693558.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=58310494&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.58310494,Microsoft Surface Pro X (13/ SQ1TM/ 8GB/ 128GB SSD/ WiFi + 4G LTE/ Black) - Hàng Nhập Khẩu,Microsoft,Detico,23500000,Mỹ,Trung Quốc,,Bluetooth 5.0,3733Mbps," Camera trước 5.0 MP 1080p HD, hỗ trợ tính năng nhận diện khuôn mặt Windows Hello Camera sau 10.0 MP, tự động lấy nét ",Microsoft SQ1 Adreno 685,,,"2 USB C,1 khe nano SIM, 1 cổng sạc Surface Connect, 1 cổng gắn bàn phím Cover",Microsoft SQ1,,287 mm x 208 mm x 7.3 mm,,128GB,SSD,,LPDDR4x RAM,,774g,8GB,,,,Wifi 5,~13 giờ,,,,,,,Qualcomm Snapdragon X24 LTE Modem,,,,
https://tiki.vn/laptop-hp-probook-450-g8-2h0v4pa-i5-1135g7-8gb-ram-256gb-ssd-15-6-fhd-fp-win-bac-hang-chinh-hang-p108591546.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=108591553&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.108591553,"Laptop HP ProBook 450 G8 2H0V4PA i5 1135G7 | 8GB RAM | 256GB SSD | 15.6"" FHD | FP | Win | Bạc - Hàng Chính Hãng",HP,,19990000,Việt Nam,Việt Nam,,,,,,,,,,,,,,,,,,1.74kg,,,,Windows,,,,,,,,,,,,,
https://tiki.vn/laptop-acer-aspire-a315-57g-524z-nx-hzrsv-009-i5-1035g1-8gbram-512gb-ssd-mx330-2g-15-6-inch-fhd-win-10-den-p120461391.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=128876249&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.128876249,Laptop Acer Aspire A315-57G-524Z (NX.HZRSV.009) (i5 1035G1/8GBRAM/512GB SSD/MX330 2G/15.6 inch FHD/ Win 10/Đen)(Hàng Chính Hãng),Acer,,17990000,Trung Quốc,Trung Quốc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://tiki.vn/laptop-acer-aspire-3-a315-34-p26u-nx-he3sv-00h-intel-pentium-n5030-15-6-inch-hang-nhap-khau-p77105222.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=77105240&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.77105240,Laptop Acer Aspire 3 A315 34 P26U (NX.HE3SV.00H. Intel Pentium N5030 (15.6 inch) - Hàng Nhập Khẩu,Acer,,10290000,Trung Quốc,Trung Quốc,,Có,,Có,,,,,Intel Pentium Silver N5030,"1.1 GHz base frequency, up to 3.1 GHz",,, 256GB M.2 PCIe NVMe Solid State Drive ,,3 Cell 36Whr,DDR4,,1.7,"4GB, DDR4 (On board +1 khe), 2666 MHz",,,,Có,,,A315 34 P26U,,Option,,,,,,,Acer
https://tiki.vn/laptop-dell-vostro-3405-v4r53500u003w-r5-3500u-8gb-ram-512gb-ssd-14-0-inch-fhd-win10-den-hang-chinh-hang-p133697603.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=133697604&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.133697604,Laptop Dell Vostro 3405 (V4R53500U003W) (R5 3500U 8GB RAM/512GB SSD/14.0 inch FHD/Win10/Đen) - Hàng chính hãng,Dell,,16890000,Mỹ,Mỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://tiki.vn/apple-mac-mini-m1-2020-13-inchs-8gb-16gb-256gb-512gb-hang-chinh-hang-p124903733.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=73788534&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.73788534,Apple Mac Mini M1 2020 - 13 Inchs (8GB / 16GB - 256GB / 512GB) - Hàng Chính Hãng,Apple,,17500000,Mỹ,Trung Quốc,,Bluetooth 5.0 wireless technology,,,8-core GPU,,"Apple M1 chip with 8-core CPU, 8-core GPU, and 16-core Neural Engine","Two Thunderbolt, Two USB-A ports, HDMI 2.0 port, Gigabit Ethernet port, 3.5 mm headphone jack",,,3.6 cm x 19.7 cm x 19.7 cm,,256GB,SSD,,,IEEE 802.11a/b/g/n/ac compatible,1.2 kg,8GB,,,MacOS Big Sur,802.11ax Wi-Fi 6 wireless networking,,,,,,,,,,,,
https://tiki.vn/microsoft-surface-laptop-core-i5-win10-s-13-5-inch-do-hang-nhap-khau-p814103.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=20413401&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.20413401,Microsoft Surface Laptop Core i5 / Win10 S 13.5 inch 8GB RAM (Đỏ) - Hàng Nhập Khẩu,Microsoft,NewTechShop,27700000,,,Omnisonic speakers with Dolby® Audio™ Premium,Bluetooth 4.0 LE wireless technology,,720p HD camera (front-facing),Intel HD Graphics 620 ,,,"USB 3.0, microSD, headphone/mic jack 3.5mm, Mini DisplayPort, Cover port, Surface Connect",Intel Core i5,,(Dài x Rộng x Dày) 308.1 x 223.27 x 14.48 mm,IPS LCD,256GB,SSD,Đang cập nhật,,,1.25g,8GB,2256 x 1504 pixels,13.5 inch,Window 10 S (Có thể nâng cấp Windows 10 Pro),802.11ac Wi-Fi wireless networking; IEEE 802.11a/b/g/n compatible,14.5 giờ,,,Mỹ,Không,,,,,,,
https://tiki.vn/apple-macbook-pro-touch-bar-2019-mv962-13-inchs-i5-8gb-256gb-hang-chinh-hang-p37889069.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=49723037&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.49723037,Apple Macbook Pro Touch Bar 2019 MV962 - 13 Inchs (i5/ 8GB/ 256GB) - Hàng Chính Hãng,Apple,Antam Trading,44450000,,,Stereo speakers with high dynamic range,Bluetooth 5.0,2133MHz,FaceTime HD camera,Intel Iris Plus Graphics 655,,2.4GHz Quad-core Intel Core I5,"4 Cổng Thunderbolt 3 (USB-Type C), Cổng âm thanh 3.5mm",Intel Core I5,Turbo Boost up to 4.1GHz,1.49 x 30.41 x 21.24 cm,Màn mình rộng LED Retina,,,,SSD,,1.37kg,256GB,WQXGA (2560 x 1600),13.3 inch,Preinstalled macOS Mojave,WIFI 802.11 ac,,,,,,Tích hợp,,,,,,
https://tiki.vn/microsoft-surface-laptop-3-core-i5-1035g7-13-hang-nhap-khau-p49206793.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=51090770&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.51090770,"Microsoft Surface Laptop 3 (Core i5-1035G7/13"") - Hàng Nhập Khẩu",Microsoft,NewTechShop,24490000,Mỹ,Trung Quốc,,5.0,,"Chính: 720p HD, Windows Hello; Phụ: 10 MP, quay video Full HD",Intel Iris Plus Graphics,,,"1 x USB-C, 1 x USB-A, 3.5 mm headphone jack, 1 x Surface Connect port, Compatible with Surface Dial off-screen interaction*",Quad-core 10th Gen Intel Core i5-1035G7 Processor,,308.1 x 223.27 x 14.48 mm,"PixelSense, Kính cường lực Gorilla Glass 3",128GB, SSD,, LPDDR4x RAM,,1283 g,8 GB,2256 x 1504 pixels,13 inch,Windows 10 Home,Wi-Fi 802.11 a / b / g / n / ac,11.5 tiếng sử dụng,,,,,,,,,,16 triệu màu,
https://tiki.vn/laptop-lenovo-ideapad-gaming-3-15ihu6-82k100fbvn-core-i7-11370h-8gb-ddr4-3200hz-rtx-3050-4gb-gddr6-512gb-ssd-m-2-2242-pcie-nvme-15-6-fhd-ips-120hz-win10-hang-chinh-hang-p122202413.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=122202414&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.122202414,"Laptop Lenovo Ideapad Gaming 3 15IHU6 82K100FBVN (Core i7-11370H/ 8GB DDR4-3200Hz/ RTX 3050 4GB GDDR6/ 512Gb SSD M.2 2242 PCIe NVMe/ 15.6 FHD IPS, 120Hz/ Win10) - Hàng Chính Hãng",Lenovo,,26679000,Trung Quốc,Trung Quốc,	Nahimic Audio,v5.0,,720p with Camera Shutter,"NVIDIA GeForce RTX 3050 4GB GDDR6 Boost Clock 1500 / 1740MHz, TGP 90W",,,"1x USB-C 3.2 Gen 1 (support data transfer only), 2x USB 3.2 Gen 1, 1x HDMI 2.0, 1x RJ-45, 1x headphone / microphone combo jack (3.5mm), 1x power connector",Intel Core i7-11370H 3.0GHz up to 4.8GHz 12MB,,,"IPS 250nits Anti-glare, 120Hz, 45% NTSC, DC dimmer",512GB SSD M.2 2242 PCIe 3.0x4 NVMe (Còn trống 1 khe 2.5 SATA3),,3 Cell 45WHr,,	100/1000M,	2.25 kg,"	8GB (8x1) DDR4 3200MHz (2x SO-DIMM socket, up to 16GB SDRAM)",,,,802.11AX (2x2),,,82K100FBVN ,,,,,,,,,
https://tiki.vn/laptop-dell-inspiron-15-3511-p112f001bbl-core-i5-1135g7-4gb-ddr4-512gb-ssd-nvme-pcie-15-6-fhd-win10-officeh-s-2019-hang-chinh-hang-p127257853.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=127257854&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.127257854,Laptop Dell Inspiron 15 3511 P112F001BBL (Core i5-1135G7/ 4GB DDR4/ 512GB SSD NVMe PCIe/ 15.6 FHD/ Win10 + OfficeH&S 2019) - Hàng Chính Hãng,Dell,,18729000,Mỹ,Trung Quốc,,BT 5.0,,,Intel(R) Iris Xe Graphics,,,,"Intel Core i5-1135G7 (8MB Cache, 2.4GHz, Turbo Boost 4.2GHz)",,,15.6-inch FHD (1920 x 1080) Anti-glare LED Backlight Non-Touch Narrow Border WVA Display,512GB M.2 PCIe NVMe SSD,,3 Cell 41WHr,4GB (1x4GB) DDR4 2666MHz,,,,,,Win10 Home SL,WLAN 802.11ac,3 Cell 41WHr,,P112F001BBL,,,,,,,,,
https://tiki.vn/laptop-gigabyte-g5-md-51s1223sh-core-i5-11400h-16gb-8x2-ddr4-3200mhz-512gb-ssd-m-2-pcie-g3x4-rtx-3050ti-4gb-gddr6-15-6-fhd-ips-144hz-3ms-win10-hang-chinh-hang-p114586774.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=114586775&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.114586775,"Laptop Gigabyte G5 MD-51S1123SH (Core i5-11400H/ 16GB (8x2) DDR4 3200MHz/ 512GB SSD M.2 PCIE G3X4/ RTX 3050Ti 4GB GDDR6/ 15.6 FHD IPS, 144Hz, 3ms/ Win10) - Hàng Chính Hãng",Gigabyte,,27899000,Đài Loan,Trung Quốc,DTS:X Ultra,V5.2,3200MHz,HD Camera,"NVIDIA GeForce RTX 3050Ti 4GB GDDR6 Boost Clock 1500 MHz, Maximum Graphics Power 75 W",,,"1x USB 3.2 Gen 2 Type-C, 1x USB3.2 Gen1 Type-A, 1x USB3.2 Gen2 Type-A,1x USB2.0 Type-A, 1x HDMI 2.0 (with HDCP), 1x mini DP 1.4, 1x Audio combo jack, 1x Microphone jack, 1x DC-in Jack, 1x RJ-45",Intel Core i5-11400H,2.7GHz up to 4.5GHz 12MB,361 x 258 x 24.9 (mm),"IPS, Anti-Glare with 72% NTSC, 100% sRGB, 144Hz, 3ms, 300nits","512GB SSD M.2 PCIE G3X4 (Còn trống 1 khe SSD M.2 PCIE và 1 khe 2.5"" SATA)",SSD,4 Cell 48.96 WHrs,DDR4,RTL8411B REALTEK (1G) Ethernet,2.2 kg,"16GB (8x2) DDR4 3200MHz (2x SO-DIMM socket, up to 64GB SDRAM)",Full HD (1920 x 1080),15.6 inch,Windows 10 Home,"Intel AX200 Wireless (802.11ax, a/b/g/n/ac/ax compatible)",,,,,,,,,,,,
https://tiki.vn/laptop-asus-fx516pe-i7-11370h-8gb-512gb-4gb-rtx3050ti-15-6-f-144hz-win10-hn005t-xam-p122474835.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=122474838&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.122474838,"Laptop Asus FX516PE i7 11370H/8GB/512GB/4GB RTX3050Ti/15.6""F/144Hz/Win10/(HN005T)/Xám - Hàng chính hãng",Asus,,29490000,Đài Loan,Trung Quốc,"Stereo speakers, DTS X:Ultra Audio",Có,,Không tích hợp,Card rời - NVIDIA GeForce RTX3050Ti,,,Jack tai nghe 3.5 mm  Thunderbolt 4 USB-C  3 x USB 3.2  HDMI  LAN (RJ45), Intel Core i7 Tiger Lake - 11370H,3.30 GHz Tốc độ tối đa Turbo Boost 4.8 GHz,,Tấm nền IPS  Chống chói Anti Glare  Adaptive-Sync  250 nits  Tần có quét 144 Hz," SSD 512 GB NVMe PCIe, Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng",,4-cell Li-ion,DDR4 2 khe (1 khe 8GB onboard + 1 khe trống),LAN (RJ45),2 kg,8 GB,,,Windows 10 Home SL,Có,,"LAN (RJ45), 
Wi-Fi 6 (802.11ax)",TUF Gaming FX516PE i7,,,,4 GB,"Wi-Fi 6 (802.11ax), Bluetooth 5.1",,76 Wh,,
https://tiki.vn/laptop-asus-rog-strix-g15-g513qr-hq096t-amd-r9-5900hx-16gb-8x2-ddr4-3200mhz-1tb-ssd-pcie-g3x4-rtx-3070-8gb-gddr6-15-6-fhd-ips-non-glare-300hz-3ms-win10-hang-chinh-hang-p132820319.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=132820321&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.132820321,"Laptop Asus ROG Strix G15 G513QR-HQ096T (AMD R9-5900HX/ 16GB (8x2) DDR4 3200MHz/ 1TB SSD PCIE G3X4/ RTX 3070 8GB GDDR6/ 15.6 FHD, IPS Non-Glare, 300Hz/3ms/ Win10) - Hàng Chính Hãng",Asus,Tiki Trading,46569000,Đài Loan,Trung Quốc,Dolby Atmos,v5.1,3200MHz,,NVIDIA GeForce RTX 3070 8GB GDDR6 With ROG Boost up to 1660MHz at 115W (130W with Dynamic Boost),,,"1x Type C USB 3.2 Gen 2 with Power Delivery and Display Port, 3x USB 3.2 Gen 1 Type-A, 1x HDMI 2.0b, 1x 3.5mm Combo Audio Jack, 1x RJ45 LAN Jack",AMD Ryzen 9 5900HX ,3.3GHz up to 4.6GHz 16MB,35.4 x 25.9 x 2.26 ~ 2.72 (cm),"IPS Non-Glare, NanoEdge, 100% sRGB, 300nits, 300Hz/3ms, Adaptive-Sync",1TB SSD PCIE G3X4 (Còn trống 1 khe SSD M.2 PCIE),,4 Cell 90WHrs,DDR4,10/100/1000 Base T,2.3 kg,"16GB (8x2) DDR4 3200MHz (2x SO-DIMM socket, up to 32GB SDRAM)",Full HD (1920 x 1080),15.6 inch,Windows 10 Home,Intel 802.11ax (2x2) Wi-Fi 6 (Gig+),,,,,,Rời,,,,,,
https://tiki.vn/bo-dan-jcpal-5-in-1-cho-new-macbook-pro-13-nam-2020-2021-macbook-pro-m1-model-a2251-a2289-a2338-p105038687.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=105038700&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.105038700,"Bộ dán JCPAL 5 in 1 cho New Macbook Pro 13"" năm (2020-2021), Macbook Pro M1 ( model A2251 ,A2289 , A2338))",OEM,,550000,Việt Nam,Việt Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://tiki.vn/laptop-hp-probook-430-g8-2h0n8pa-core-i5-1135g7-8gb-ddr4-3200mhz-256gb-ssd-pcie-nvme-13-3-fhd-ips-win10-hang-chinh-hang-p97034083.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=97034084&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.97034084,Laptop HP ProBook 430 G8 2H0N8PA (Core i5-1135G7/ 8GB DDR4 3200MHz/ 256GB SSD PCIe NVMe/ 13.3 FHD IPS/ Win10) - Hàng Chính Hãng,HP,,19729000,Mỹ,Trung Quốc,2 Integrated stereo speakers,v5.0,,720p HD Camera; IR Camera,Intel Iris Xᵉ Graphics,microSD,,"2x SuperSpeed USB Type-A 5Gbps signaling rate (1 charging, 1 power); 1x SuperSpeed USB Type-C 10Gbps signaling rate (USB Power Delivery, DisplayPort 1.4); 1x headphone/microphone combo; 1x HDMI 1.4b; 1x AC power; FingerPrint",Intel Core i5-1135G7 2.4GHz up to 4.2GHz 8MB,,,"13.3"" FHD (1920 x 1080) IPS, narrow bezel, anti-glare, 250 nits, 45% NTSC",256GB SSD PCIe NVMe SSD (1 slot),,3 Cell 45WHr,,,1.28 kg,"8GB DDR4 3200MHz (2x SO-DIMM socket, up to 32GB SDRAM)",Full HD (1920 x 1080),13.3 inch,Windows 10 Home,Intel AX201 Wi-Fi 6 (2x2),,,,,,,,,,,,
https://tiki.vn/pin-may-tinh-dell-precision-3510-type-g9g1h-4f5yv-84wh-pin-dell-latitude-5570-p117833976.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=117833977&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.117833977,Pin Máy Tính dành cho Dell Precision 3510 (Type G9G1H 4F5YV 84WH) - Pin Dell Latitude 5570,OEM,,1517500,Việt Nam,Việt Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://tiki.vn/vivobook-asus-r564ja-uh31t-core-i3-1005g1-ram-4gb-ssd-128gb-15-6-full-hd-touchscreen-win-10-p124838988.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=124838989&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.124838989,Vivobook ASUS  R564JA-UH31T Core i3-1005G1 / RAM 4GB / SSD 128GB / 15.6 Full HD Touchscreen / Win 10- Hàng nhập khẩu,Asus,,15950000,Đài Loan,Mỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://tiki.vn/apple-macbook-pro-m1-2020-13-inchs-8gb-16gb-256gb-512gb-hang-chinh-hang-p125013938.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=73795664&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.73795664,Apple MacBook Pro M1 2020 - 13 Inchs (8GB / 16GB - 256GB / 512GB) - Hàng Chính Hãng,Apple,Tiki Trading,36590000,Mỹ,Trung Quốc,"Stereo speakers with high dynamic range, Three microphones, 3.5 mm Headphone jack",Bluetooth 5.0 wireless technology,,720p FaceTime HD camera,The 8-core GPU in M1 chip,,Apple M1,"Two Thunderbolt 3 / USB 4 ports; Support for Charging, DisplayPort, ThunderBolt (up to 40Gbps), USB 3.1 Gen 2 (up to 10 Gbps)","Apple M1 chip: 8-core CPU with 4 performance cores and 4 efficiency cores, 8-core GPU, 16-core Neural Engine",,,"LED-backlit display with IPS technology; 2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors 500 nits brightness; Wide color gamut (P3), True Tone technology.",512GB SSD,,,,,1.4kg,8GB unified memory,,13.3 inch,,802.11ax WI-FI 6 wireless networking; IEEE 802.11a/b/g/n/ac compatible,,,Pro 2020 M1,,,,,,,,,
https://tiki.vn/laptop-lg-gram-2021-17z90p-g-ah78a5-core-i7-1165g7-16gb-lpddr4x-1tb-ssd-nvme-17-wqxga-ips-win10-hang-chinh-hang-p92621126.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=92621127&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.92621127,Laptop LG Gram 2021 17Z90P-G.AH78A5 (Core i7-1165G7/ 16GB LPDDR4X/ 1TB SSD NVMe/ 17 WQXGA IPS/ Win10) - Hàng Chính Hãng,LG,Tiki Trading,54900000,Hàn Quốc,Trung Quốc,HD Audio with DTS:X Ultra,v5.1,4266MHz,HD Webcam with Dual Mic,Intel Iris Xe Graphics,"UFS, Micro SD",,"2x USB 3.2 Gen2, 2x USB Type-C Thunderbolt 4, 1x HDMI",Intel Core i7-1165G7,2.8GHz up to 4.7GHz 12MB,380.2 x 260.1 x 17.8 mm,"IPS, DCI-P3 99%","1TB PCIe NVMe M.2 SSD (2 slot, còn trống 1 khe M.2)",SSD,80WHr 10.336mAh,LPDDR4X,10/100 with RJ45 Gender,1.35 kg,16GB (8GBx2),WQXGA (2560 x 1600),17 inch,Windows 10 Home,Intel Wi-Fi 6 AX201D2W,,,,,,Tích hợp,,,,,,
https://tiki.vn/laptop-lg-gram-2021-14z90p-g-ah75a5-core-i7-1165g7-16gb-lpddr4x-256gb-ssd-nvme-14-wuxga-ips-win10-hang-chinh-hang-p92613018.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=92613020&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.92613020,Laptop LG Gram 2021 14Z90P-G.AH75A5 (Core i7-1165G7/ 16GB LPDDR4X/ 256GB SSD NVMe/ 14 WUXGA IPS/ Win10) - Hàng Chính Hãng,LG,,47900000,Hàn Quốc,Trung Quốc,HD Audio with DTS X Ultra,v5.1,,HD Webcam with Dual Mic,Intel Iris Xe Graphics,,,"HP-Out(4Pole Headset, US type), USB 3.2 Gen2x1 (x2), HDMI,  USB 4 Gen3x2 Type C (x2, with Power Delivery, Display Port, Thunderbolt 4)","Intel 11th Generation i7(Quad Core) 'i7-1165G7 (2.8 GHz, Turbo up to 4.7 GHz, L3 Cache 12MB, 28W)",,313.4 x 215.2 x 16.8 mm,IPS,256GB SSD,,72 Wh Li-Ion,,,999g,16GB LPDDR4X (Dual Channel),,14 inch,,"Intel Wireless-AX201 (802.11ax, 2x2, Dual Band)",,,14Z90P-G.AH75A5,,,,,,,,,
https://tiki.vn/ban-phim-cho-acer-aspire-4210-4520-4710-5220-5310-5720-5235-6920-trang-hang-moi-100-p117806374.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=117806378&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.117806378,Bàn phím cho Acer Aspire 4210 4520 4710 5220 5310 5720 5235 6920 Trắng Hàng Mới 100%,OEM,,152000,Việt Nam,Việt Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://tiki.vn/laptop-hp-probook-450-g8-2z6l0pa-i5-1135g7-ram-8gb-256gb-ssd-nvidia-geforce-mx450-2gb-15-6-inch-fhd-freedos-hang-chinh-hang-p108591544.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=108591549&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.108591549,Laptop HP ProBook 450 G8 2Z6L0PA i5-1135G7 | RAM 8GB | 256GB SSD | NVIDIA Geforce MX450 2GB | 15.6 inch FHD | FreeDOS - Hàng Chính Hãng,HP,,21390000,Việt Nam,Việt Nam,,,,,,,,,,,,,,,,,,1.74kg,,,,FreeDOS,,,,,,,,,,,,,
https://tiki.vn/laptop-msi-prestige-15-a11scx-209vn-core-i7-1185g7-16gb-8gb-x2-ddr4-3200mhz-512gb-pcie-gen4x4-gtx-1650-4gb-gddr6-with-max-q-design-15-6-fhd-ips-win10-hang-chinh-hang-p73177243.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=73177244&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.73177244,Laptop MSI Prestige 15 A11SCX-209VN (Core i7-1185G7/ 16GB (8GB x2) DDR4 3200MHz/ 512GB PCIe Gen4x4/ GTX 1650 4GB GDDR6 with Max-Q Design/ 15.6 FHD IPS/ Win10) - Hàng Chính Hãng,MSI,,32079000,Đài Loan,Trung Quốc,Nahimic 3,v5.1,,IR HD type (30fps@720p),NVIDIA GeForce GTX 1650 4GB GDDR6 with Max-Q Design,Micro SD Card Reader,,2x Type-C (USB4 / DP / Thunderbolt4) with PD charging; 1x (4K @ 60Hz) HDMI; 2x Type-A USB3.2 Gen2,Intel Core i7-1185G7 3.0GHz up to 4.8GHz 12MB,,356.8 x 233.7 x 16.9 mm,"15.6"" FHD (1920 x 1080) IPS, 60Hz, Thin Bezel, Anti-Glare with 72% NTSC, 100% sRGB",512GB PCIe Gen4x4 (Còn trống 1 khe SSD M.2 PCIE Gen3x4),,4 Cell 82WHr,,,1.69 kg,"16GB (8GB x2) DDR4 3200MHz (2x SO-DIMM socket, up to 32GB SDRAM)",,15.6 inch,Windows 10 Home,Intel Wi-Fi 6 AX201 (2x2),,,,,,,,,,,,
